County,Shape_ID,geometry,Area,Type,Location,Base_Density,Base_Pop,Est_Density,Est_Pop
A01,A01_013,"POLYGON ((2842 1318.43, 2842 1312, 2849.5 1312, 2852.91 1312, 2850.81 1314.18, 2848.84 1315.34, 2848.53 1316.34, 2842 1318.43))",0.687041,City,Inner City,11857.1,8146,13788.1,9473
A01,A01_014,"POLYGON ((2859.83 1324.15, 2863.83 1322.69, 2871.12 1324.34, 2870.3 1326.08, 2864 1329.21, 2859.83 1324.15))",0.638823,City,Inner City,11926.6,7619,9440.5,6031
A01,A01_015,"POLYGON ((2846.36 1321.26, 2848.82 1318.57, 2848.53 1316.34, 2848.84 1315.34, 2850.81 1314.18, 2851.6 1315.54, 2852.91 1317.75, 2849.7 1323.24, 2846.36 1321.26))",0.446431,City,Inner City,12622.7,5635,15919.4,7107
A01,A01_016,"POLYGON ((2849.7 1323.24, 2852.91 1317.75, 2855.49 1320.09, 2852.96 1323.89, 2852.36 1324.68, 2849.7 1323.24))",0.301383,City,Inner City,14168.7,4270,11538.0,3477
A01,A01_017,"POLYGON ((2855.49 1320.09, 2856.95 1320.67, 2859.83 1324.15, 2856.88 1325.48, 2852.96 1323.89, 2855.49 1320.09))",0.31233,City,Inner City,13988.6,4369,17643.1,5510
A01,A01_018,"POLYGON ((2846.36 1321.26, 2845.5 1325.68, 2843.7 1325.35, 2842 1324.86, 2842 1318.43, 2848.53 1316.34, 2848.82 1318.57, 2846.36 1321.26))",0.610887,City,Inner City,11980.9,7319,15355.6,9381
A01,A01_019,"POLYGON ((2845.5 1325.68, 2846.36 1321.26, 2849.7 1323.24, 2848.16 1325.55, 2845.5 1325.68))",0.174641,City,Inner City,18248.4,3187,18737.6,3272
A01,A01_020,"POLYGON ((2852.36 1324.68, 2851.16 1326.82, 2848.16 1325.55, 2849.7 1323.24, 2852.36 1324.68))",0.127074,City,Inner City,22223.8,2824,30561.6,3884
A01,A01_021,"POLYGON ((2864 1329.21, 2870.3 1326.08, 2872.03 1330.81, 2864 1334, 2864 1329.21))",0.57417,City,Inner City,12071.0,6931,10405.7,5975
A01,A01_022,"POLYGON ((2864 1334, 2856.88 1334, 2856.88 1325.48, 2859.83 1324.15, 2864 1329.21, 2864 1334))",0.898068,City,Inner City,11797.6,10595,12969.0,11647
A01,A01_023,"POLYGON ((2848.81 1331.24, 2851.16 1326.82, 2852.36 1324.68, 2852.96 1323.89, 2856.88 1325.48, 2856.88 1334, 2848.92 1334, 2848.81 1331.24))",0.993943,City,Inner City,11855.1,11783,8981.1,8927
A01,A01_024,"POLYGON ((2851.16 1326.82, 2848.16 1325.55, 2845.5 1325.68, 2843.7 1325.35, 2842 1324.86, 2842 1334, 2848.92 1334, 2848.81 1331.24, 2851.16 1326.82))",1.007104,City,Inner City,11865.8,11950,10066.3,10138
A01,A01_025,"POLYGON ((2877.3 1328.75, 2878.63 1333.14, 2878.23 1334.94, 2875.83 1337.47, 2874.78 1339.34, 2872.03 1330.81, 2877.3 1328.75))",0.610848,City,Inner City,11981.0,7319,9836.9,6009
A01,A01_026,"POLYGON ((2874.78 1339.34, 2864 1339.34, 2864 1334, 2872.03 1330.81, 2874.78 1339.34))",1.050759,City,Inner City,11905.6,12510,10612.3,11151
A01,A01_027,"POLYGON ((2864 1346.52, 2864 1339.34, 2874.78 1339.34, 2872.69 1346.52, 2864 1346.52))",1.08942,City,Inner City,11945.6,13014,14139.9,15404
A01,A01_028,"POLYGON ((2870.2 1356, 2864 1356, 2864 1346.52, 2872.69 1346.52, 2871.74 1350.19, 2870.2 1356))",1.10107,City,Inner City,11958.5,13167,11824.2,13019
A01,A01_029,"POLYGON ((2876.93 1353.11, 2874.58 1356, 2870.2 1356, 2871.74 1350.19, 2874.34 1350.79, 2873.89 1351.95, 2876.93 1353.11))",0.372026,City,Inner City,13225.8,4920,16603.6,6177
A01,A01_030,"POLYGON ((2872.69 1346.52, 2880.97 1348.5, 2880.12 1349.5, 2878.53 1351.3, 2876.93 1353.11, 2873.89 1351.95, 2874.34 1350.79, 2871.74 1350.19, 2872.69 1346.52))",0.527472,City,Inner City,12222.9,6447,11490.9,6061
A01,A01_031,"POLYGON ((2872.69 1346.52, 2874.78 1339.34, 2876.9 1341.69, 2882.64 1346.55, 2880.97 1348.5, 2872.69 1346.52))",0.683996,City,Inner City,11860.7,8113,15826.8,10825
A01,A01_032,"POLYGON ((2884.34 1356, 2874.58 1356, 2876.93 1353.11, 2878.53 1351.3, 2884.34 1356))",0.360368,City,Inner City,13350.5,4811,12496.9,4503
A01,A01_033,"POLYGON ((2884.88 1337.45, 2883.3 1338.77, 2881.2 1340.2, 2879.32 1341.3, 2876.9 1341.69, 2874.78 1339.34, 2875.83 1337.47, 2878.23 1334.94, 2878.63 1333.14, 2884.88 1337.45))",0.695526,City,Inner City,11847.6,8240,14206.9,9881
A01,A01_034,"POLYGON ((2886.99 1356, 2884.34 1356, 2878.53 1351.3, 2880.12 1349.5, 2880.97 1348.5, 2890.88 1348.5, 2889.48 1350.13, 2885.28 1354.5, 2886.99 1356))",0.810036,City,Inner City,11784.2,9546,13366.4,10827
A01,A01_035,"POLYGON ((2876.9 1341.69, 2879.32 1341.3, 2881.2 1340.2, 2883.3 1338.77, 2887.26 1341.34, 2882.64 1346.55, 2876.9 1341.69))",0.587756,City,Inner City,12035.0,7074,13075.0,7685
A01,A01_036,"POLYGON ((2892.37 1352.13, 2888.82 1356, 2886.99 1356, 2885.28 1354.5, 2889.48 1350.13, 2890.84 1351.54, 2892.37 1352.13))",0.322975,City,Inner City,13827.2,4466,10446.7,3374
A01,A01_037,"POLYGON ((2890.88 1348.5, 2880.97 1348.5, 2882.64 1346.55, 2887.26 1341.34, 2893.16 1346.56, 2890.88 1348.5))",0.737308,City,Inner City,11811.6,8709,9125.7,6728
A01,A01_038,"POLYGON ((2897.28 1354.36, 2898.39 1354.91, 2898.41 1356, 2888.82 1356, 2892.37 1352.13, 2897.28 1354.36))",0.341682,City,Inner City,13572.8,4638,9034.2,3087
A01,A01_039,"POLYGON ((2889.48 1350.13, 2890.88 1348.5, 2894.7 1349.19, 2892.37 1352.13, 2890.84 1351.54, 2889.48 1350.13))",0.16914,City,Inner City,18583.3,3143,25269.7,4274
A01,A01_040,"POLYGON ((2892.37 1352.13, 2894.7 1349.19, 2898.56 1349.28, 2898.82 1351.33, 2897.28 1354.36, 2892.37 1352.13))",0.337438,City,Inner City,13627.5,4598,15349.5,5179
A01,A01_041,"POLYGON ((2904.4 1356, 2898.41 1356, 2898.39 1354.91, 2897.28 1354.36, 2898.82 1351.33, 2900.86 1351.39, 2903.43 1350.99, 2904.74 1351.56, 2904.48 1353.6, 2904.4 1356))",0.473261,City,Inner City,12467.1,5900,12173.7,5761
A01,A01_042,"POLYGON ((2898.56 1349.28, 2903.18 1345.39, 2899.84 1344.52, 2896.01 1346.13, 2893.16 1346.56, 2890.88 1348.5, 2894.7 1349.19, 2898.56 1349.28))",0.48514,City,Inner City,12406.2,6019,12774.2,6197
A01,A01_043,"POLYGON ((2904.4 1356, 2904.48 1353.6, 2904.74 1351.56, 2908 1353.08, 2908 1356, 2904.4 1356))",0.202338,City,Inner City,16864.5,3412,19399.0,3925
A01,A01_044,"POLYGON ((2887.26 1341.34, 2892.05 1336.05, 2893.53 1337.6, 2894.52 1341.74, 2893.78 1343.91, 2893.16 1346.56, 2887.26 1341.34))",0.62216,City,Inner City,11957.6,7440,13565.2,8440
A01,A01_045,"POLYGON ((2904.74 1351.56, 2905.77 1349.47, 2908 1347.52, 2908 1353.08, 2904.74 1351.56))",0.161922,City,Inner City,19060.8,3086,23645.6,3829
A01,A01_046,"POLYGON ((2904.48 1344.09, 2903.18 1345.39, 2898.56 1349.28, 2898.82 1351.33, 2900.86 1351.39, 2903.43 1350.99, 2904.74 1351.56, 2905.77 1349.47, 2908 1347.52, 2908 1344.41, 2906.58 1344.42, 2904.48 1344.09))",0.684258,City,Inner City,11860.4,8116,11244.8,7694
A01,A01_047,"POLYGON ((2887.26 1341.34, 2883.3 1338.77, 2884.88 1337.45, 2886.69 1334.77, 2887.36 1333.1, 2892.05 1336.05, 2887.26 1341.34))",0.522143,City,Inner City,12243.4,6393,11149.2,5821
A01,A01_048,"POLYGON ((2904.48 1344.09, 2903.18 1345.39, 2899.84 1344.52, 2896.01 1346.13, 2893.16 1346.56, 2893.78 1343.91, 2894.52 1341.74, 2893.53 1337.6, 2898.98 1341.37, 2904.48 1344.09))",0.675163,City,Inner City,11871.6,8015,10835.6,7316
A01,A01_049,"POLYGON ((2904.48 1344.09, 2906.58 1344.42, 2908 1344.41, 2908 1342.66, 2904.48 1344.09))",0.05182,City,Inner City,47189.0,2445,36978.4,1916
A01,A01_050,"POLYGON ((2900.09 1336.86, 2902.61 1338.61, 2905.1 1339.8, 2908 1340.5, 2908 1342.66, 2904.48 1344.09, 2898.98 1341.37, 2893.53 1337.6, 2900.09 1336.86))",0.771691,City,Inner City,11793.6,9101,14944.3,11532
A01,A01_051,"POLYGON ((2878.63 1333.14, 2884.88 1337.45, 2886.69 1334.77, 2887.36 1333.1, 2885.95 1331.96, 2885.08 1329.82, 2883.27 1328.07, 2878.63 1333.14))",0.6476,City,Inner City,11911.8,7714,12052.5,7805
A01,A01_052,"POLYGON ((2908 1334, 2908 1340.5, 2905.1 1339.8, 2902.61 1338.61, 2900.09 1336.86, 2902.26 1335.25, 2903.49 1333.52, 2908 1334))",0.566663,City,Inner City,12092.4,6852,11269.6,6386
A01,A01_053,"POLYGON ((2900.78 1330.51, 2903.49 1333.52, 2902.26 1335.25, 2900.09 1336.86, 2893.53 1337.6, 2892.05 1336.05, 2894.4 1332.22, 2895.64 1333.09, 2898.11 1329.07, 2900.78 1330.51))",0.864801,City,Inner City,11787.4,10194,13579.2,11743
A01,A01_054,"POLYGON ((2900.78 1330.51, 2904.51 1330.22, 2908 1329.8, 2908 1334, 2903.49 1333.52, 2900.78 1330.51))",0.327648,City,Inner City,13760.4,4509,19743.2,6469
A01,A01_055,"POLYGON ((2892.05 1336.05, 2894.4 1332.22, 2895.64 1333.09, 2898.11 1329.07, 2895.88 1327.15, 2894.27 1329.13, 2890.72 1326.63, 2888.81 1329.02, 2887.48 1330.84, 2887.36 1333.1, 2892.05 1336.05))",0.870947,City,Inner City,11788.9,10267,7568.5,6592
A01,A01_056,"POLYGON ((2908 1323, 2908 1329.8, 2904.51 1330.22, 2900.78 1330.51, 2898.11 1329.07, 2902.55 1322.65, 2903.68 1320.76, 2908 1323))",0.992346,City,Inner City,11853.9,11763,7963.8,7903
A01,A01_057,"POLYGON ((2898.11 1329.07, 2902.55 1322.65, 2897.17 1318.81, 2896.05 1320.52, 2894.58 1321.45, 2890.72 1326.63, 2894.27 1329.13, 2895.88 1327.15, 2898.11 1329.07))",1.006678,City,Inner City,11865.5,11945,7947.1,8000
A01,A01_058,"POLYGON ((2904.8 1318.87, 2903.68 1320.76, 2908 1323, 2908 1314.28, 2906.6 1316.52, 2904.8 1318.87))",0.294853,City,Inner City,14283.8,4212,16610.0,4897
A01,A01_059,"POLYGON ((2887.36 1333.1, 2887.48 1330.84, 2888.81 1329.02, 2890.72 1326.63, 2886.82 1323.92, 2883.27 1328.07, 2885.08 1329.82, 2885.95 1331.96, 2887.36 1333.1))",0.4842,City,Inner City,12410.8,6009,14664.5,7101
A01,A01_060,"POLYGON ((2897.17 1318.81, 2899.6 1316.56, 2901.84 1316.86, 2904.8 1318.87, 2903.68 1320.76, 2902.55 1322.65, 2897.17 1318.81))",0.38905,City,Inner City,13060.6,5081,16044.0,6242
A01,A01_061,"POLYGON ((2906.81 1312, 2907.43 1312.93, 2908 1314.28, 2908 1312, 2906.81 1312))",0.018752,City,Inner City,157439.9,2952,127479.7,2390
A01,A01_062,"POLYGON ((2904.8 1318.87, 2906.6 1316.52, 2908 1314.28, 2907.43 1312.93, 2906.81 1312, 2898.59 1312, 2899.6 1316.56, 2901.84 1316.86, 2904.8 1318.87))",0.686119,City,Inner City,11858.2,8136,9770.0,6703
A01,A01_063,"POLYGON ((2890.72 1326.63, 2894.58 1321.45, 2893.06 1320.3, 2889.12 1318.96, 2886.35 1319.06, 2886.75 1322.66, 2886.82 1323.92, 2890.72 1326.63))",0.617382,City,Inner City,11967.3,7388,12425.7,7671
A01,A01_064,"POLYGON ((2889.12 1318.96, 2890.13 1315.91, 2897.17 1318.81, 2896.05 1320.52, 2894.58 1321.45, 2893.06 1320.3, 2889.12 1318.96))",0.344781,City,Inner City,13533.8,4666,8440.8,2910
A01,A01_065,"POLYGON ((2893.76 1313.74, 2896.13 1314.25, 2897.84 1315.1, 2899.6 1316.56, 2897.17 1318.81, 2890.13 1315.91, 2890.63 1313.26, 2893.76 1313.74))",0.460072,City,Inner City,12540.2,5769,10507.6,4834
A01,A01_066,"POLYGON ((2893.76 1313.74, 2893.73 1312, 2898.59 1312, 2899.6 1316.56, 2897.84 1315.1, 2896.13 1314.25, 2893.76 1313.74))",0.214565,City,Inner City,16378.3,3514,19035.4,4084
A01,A01_067,"POLYGON ((2889.12 1318.96, 2886.35 1319.06, 2886.03 1315.6, 2890.13 1315.91, 2889.12 1318.96))",0.174831,City,Inner City,18237.2,3188,17312.2,3027
A01,A01_068,"POLYGON ((2890.13 1315.91, 2890.63 1313.26, 2893.76 1313.74, 2893.73 1312, 2886.03 1312, 2886.03 1315.6, 2890.13 1315.91))",0.332869,City,Inner City,13688.3,4556,12089.3,4024
A01,A01_069,"POLYGON ((2886.35 1319.06, 2886.75 1322.66, 2886.82 1323.92, 2881.81 1319.62, 2884.05 1315.77, 2886.03 1315.6, 2886.35 1319.06))",0.356214,City,Inner City,13397.4,4772,9641.3,3434
A01,A01_070,"POLYGON ((2878.04 1323.18, 2881.81 1319.62, 2886.82 1323.92, 2883.27 1328.07, 2878.04 1323.18))",0.569751,City,Inner City,12083.5,6885,13793.1,7859
A01,A01_071,"POLYGON ((2881.81 1319.62, 2880.46 1318.54, 2879.48 1318.86, 2876.55 1317.07, 2873.67 1314.8, 2884.05 1315.77, 2881.81 1319.62))",0.367717,City,Inner City,13270.7,4880,16063.6,5907
A02,A02_001,"POLYGON ((2856.86 1346.52, 2856.86 1344.13, 2856.88 1339.34, 2855.21 1339.38, 2848.92 1339.38, 2848.92 1342.35, 2848.92 1346.52, 2856.86 1346.52))",0.884851,City,Inner City,7594.8,6720,8277.8,7325
A02,A02_002,"POLYGON ((2848.92 1342.35, 2845.63 1342.39, 2842 1342.35, 2842 1334, 2848.92 1334, 2848.92 1339.38, 2848.92 1342.35))",0.902748,City,Inner City,7599.1,6860,8518.7,7690
A02,A02_003,"POLYGON ((2845.65 1349.48, 2842 1349.48, 2842 1342.35, 2845.63 1342.39, 2845.68 1346.67, 2845.65 1349.48))",0.405465,City,Inner City,8319.6,3373,4463.3,1810
A02,A02_004,"POLYGON ((2845.65 1349.48, 2845.68 1346.67, 2845.63 1342.39, 2848.92 1342.35, 2848.92 1346.52, 2848.92 1349.48, 2845.65 1349.48))",0.361386,City,Inner City,8590.7,3105,6810.3,2461
A02,A02_005,"POLYGON ((2845.65 1354.07, 2842 1356, 2842 1349.48, 2845.65 1349.48, 2845.65 1354.07))",0.316018,City,Inner City,8972.0,2835,9795.5,3096
A02,A02_006,"POLYGON ((2848.95 1352.34, 2845.65 1354.07, 2845.65 1349.48, 2848.92 1349.48, 2848.95 1352.34))",0.190922,City,Inner City,11193.8,2137,12970.5,2476
A02,A02_007,"POLYGON ((2856.86 1346.52, 2856.86 1348.87, 2852.98 1350.62, 2848.95 1352.34, 2848.92 1349.48, 2848.92 1346.52, 2856.86 1346.52))",0.508626,City,Inner City,7920.5,4029,8061.8,4100
A02,A02_008,"POLYGON ((2864 1356, 2854 1356, 2842 1356, 2845.65 1354.07, 2848.95 1352.34, 2852.98 1350.62, 2864 1356))",0.944593,City,Inner City,7612.8,7191,6587.0,6222
A02,A02_009,"POLYGON ((2852.98 1350.62, 2856.86 1348.87, 2856.86 1346.52, 2864 1346.52, 2864 1356, 2852.98 1350.62))",0.971208,City,Inner City,7624.0,7404,8701.5,8451
A02,A02_010,"POLYGON ((2856.86 1346.52, 2856.86 1344.13, 2856.88 1339.34, 2864 1339.34, 2864 1346.52, 2856.86 1346.52))",0.798273,City,Inner City,7590.4,6059,10783.6,8608
A02,A02_011,"POLYGON ((2856.88 1334, 2864 1334, 2864 1339.34, 2856.88 1339.34, 2856.88 1334))",0.592593,City,Inner City,7743.0,4588,5775.5,3423
A02,A02_012,"POLYGON ((2848.92 1339.38, 2848.92 1334, 2856.88 1334, 2856.88 1339.34, 2855.21 1339.38, 2848.92 1339.38))",0.666947,City,Inner City,7652.7,5104,5614.4,3745
A03,A03_001,"POLYGON ((2879.47 1371.45, 2879.48 1374.95, 2886.15 1375.39, 2883.89 1371.31, 2879.47 1371.45))",0.324895,City,Inner City,12184.1,3959,15283.5,4966
A03,A03_002,"POLYGON ((2863.81 1375, 2864.86 1372.74, 2870.72 1371.22, 2869.87 1378, 2868.26 1378, 2860.19 1378, 2863.81 1375))",0.65714,City,Inner City,11982.2,7874,10631.3,6986
A03,A03_003,"POLYGON ((2860.19 1378, 2854 1378, 2854 1375.34, 2863.81 1375, 2860.19 1378))",0.348071,City,Inner City,14740.7,5131,16621.1,5785
A03,A03_004,"POLYGON ((2879.55 1378, 2879.48 1374.95, 2879.47 1371.45, 2877.09 1371.26, 2872.1 1371.41, 2870.72 1371.22, 2869.87 1378, 2871.48 1378, 2879.55 1378))",0.955968,City,Inner City,11044.3,10558,11093.8,10605
A03,A03_005,"POLYGON ((2886 1378, 2879.55 1378, 2879.48 1374.95, 2886.15 1375.39, 2886 1378))",0.289488,City,Inner City,12420.5,3596,13657.9,3954
A03,A03_006,"POLYGON ((2886 1395.34, 2887.95 1396.07, 2886 1400, 2886 1395.34))",0.070815,City,Inner City,32084.8,2272,25765.8,1825
A03,A03_007,"POLYGON ((2886 1388.07, 2887.71 1389.55, 2890.58 1391.59, 2887.95 1396.07, 2886 1395.34, 2886 1388.07))",0.336606,City,Inner City,11867.3,3995,12383.2,4168
A03,A03_008,"POLYGON ((2895.96 1392.63, 2895.2 1393.73, 2895.12 1394.48, 2894.93 1395.13, 2894.25 1395.63, 2893.41 1396.1, 2890.16 1400, 2886 1400, 2887.95 1396.07, 2890.58 1391.59, 2891.8 1391.69, 2895.96 1392.63))",0.674533,City,Inner City,10615.2,7160,7420.0,5005
A03,A03_009,"POLYGON ((2886.15 1375.39, 2890.6 1375.87, 2889.51 1385.74, 2886 1385.55, 2886 1378, 2886.15 1375.39))",0.633317,City,Inner City,9657.6,6116,9125.2,5779
A03,A03_010,"POLYGON ((2895.96 1392.63, 2900.22 1394.16, 2897.89 1397.81, 2896.49 1400, 2890.16 1400, 2893.41 1396.1, 2894.25 1395.63, 2894.93 1395.13, 2895.12 1394.48, 2895.2 1393.73, 2895.96 1392.63))",0.574246,City,Inner City,10967.1,6298,11570.6,6644
A03,A03_011,"POLYGON ((2886 1388.07, 2886 1385.55, 2889.51 1385.74, 2893.01 1385.92, 2897.23 1386.46, 2898.68 1386.63, 2896.62 1391.44, 2895.96 1392.63, 2891.8 1391.69, 2890.58 1391.59, 2887.71 1389.55, 2886 1388.07))",0.949369,City,Inner City,9845.1,9347,11869.1,11268
A03,A03_012,"POLYGON ((2904.46 1397.12, 2905.85 1399.53, 2906.11 1400, 2896.49 1400, 2897.89 1397.81, 2900.22 1394.16, 2902.05 1395.43, 2904.46 1397.12))",0.495319,City,Inner City,11600.9,5746,10626.5,5263
A03,A03_013,"POLYGON ((2889.51 1385.74, 2890.6 1375.87, 2894.5 1375.61, 2893.82 1379.29, 2893.9 1382.75, 2893.01 1385.92, 2889.51 1385.74))",0.595138,City,Inner City,9472.8,5638,10604.8,6311
A03,A03_014,"POLYGON ((2904.7 1387.01, 2903.11 1389.86, 2900.99 1392.12, 2900.22 1394.16, 2895.96 1392.63, 2896.62 1391.44, 2898.68 1386.63, 2901.8 1386.3, 2904.7 1387.01))",0.590171,City,Inner City,10522.7,6210,13304.7,7852
A03,A03_015,"POLYGON ((2907.15 1393.51, 2905.48 1395.82, 2904.46 1397.12, 2905.85 1399.53, 2906.11 1400, 2908 1400, 2908 1394.68, 2907.52 1394.03, 2907.15 1393.51))",0.235901,City,Inner City,15110.8,3565,17038.4,4019
A03,A03_016,"POLYGON ((2903.11 1389.86, 2900.99 1392.12, 2900.22 1394.16, 2902.05 1395.43, 2904.46 1397.12, 2905.48 1395.82, 2907.15 1393.51, 2905.94 1392.57, 2903.11 1389.86))",0.415431,City,Inner City,11815.7,4909,12369.4,5139
A03,A03_017,"POLYGON ((2902.1 1383.28, 2901.8 1386.3, 2898.68 1386.63, 2897.23 1386.46, 2893.01 1385.92, 2893.9 1382.75, 2898.3 1382.75, 2902.1 1383.28))",0.464536,City,Inner City,10419.9,4840,10303.6,4786
A03,A03_018,"POLYGON ((2907.15 1393.51, 2907.52 1394.03, 2908 1394.68, 2908 1389, 2904.7 1387.01, 2903.11 1389.86, 2905.94 1392.57, 2907.15 1393.51))",0.306639,City,Inner City,12957.5,3973,11222.5,3441
A03,A03_019,"POLYGON ((2902.1 1383.28, 2905.46 1384.08, 2904.7 1387.01, 2901.8 1386.3, 2902.1 1383.28))",0.15137,City,Inner City,17494.8,2648,14323.8,2168
A03,A03_020,"POLYGON ((2893.9 1382.75, 2893.82 1379.29, 2894.5 1375.61, 2896.99 1375.08, 2897.96 1379.41, 2898.3 1382.75, 2893.9 1382.75))",0.433473,City,Inner City,10412.1,4513,10535.7,4567
A03,A03_021,"POLYGON ((2905.46 1384.08, 2905.69 1381.45, 2908 1382.42, 2908 1389, 2904.7 1387.01, 2905.46 1384.08))",0.266466,City,Inner City,13504.5,3598,12758.7,3400
A03,A03_022,"POLYGON ((2896.99 1375.08, 2899.21 1375.04, 2901.45 1375.88, 2903.11 1377.01, 2901.82 1380.12, 2902.51 1380.59, 2902.1 1383.28, 2898.3 1382.75, 2897.96 1379.41, 2896.99 1375.08))",0.543746,City,Inner City,10363.2,5635,12052.3,6553
A03,A03_023,"POLYGON ((2905.46 1384.08, 2902.1 1383.28, 2902.51 1380.59, 2901.82 1380.12, 2903.11 1377.01, 2908 1379.75, 2908 1382.42, 2905.69 1381.45, 2905.46 1384.08))",0.416071,City,Inner City,11400.2,4743,11395.0,4741
A03,A03_024,"POLYGON ((2903.11 1377.01, 2908 1378, 2908 1379.75, 2903.11 1377.01))",0.066689,City,Inner City,33634.3,2243,40209.2,2682
A03,A03_025,"POLYGON ((2903.11 1377.01, 2901.45 1375.88, 2903.97 1368.93, 2904.4 1364.68, 2908 1364.68, 2908 1378, 2903.11 1377.01))",0.964204,City,Inner City,10559.5,10182,8864.4,8547
A03,A03_026,"POLYGON ((2897.71 1363.37, 2904.4 1364.68, 2903.97 1368.93, 2901.45 1375.88, 2899.21 1375.04, 2896.99 1375.08, 2894.5 1375.61, 2897.71 1363.37))",1.294718,City,Inner City,10847.3,14044,14526.4,18808
A03,A03_027,"POLYGON ((2894.5 1375.61, 2897.71 1363.37, 2890.41 1361.81, 2888.39 1368.91, 2886.15 1375.39, 2890.6 1375.87, 2894.5 1375.61))",1.627993,City,Inner City,10813.5,17604,10394.8,16923
A03,A03_028,"POLYGON ((2904.4 1356, 2898.41 1356, 2897.71 1363.37, 2904.4 1364.68, 2908 1364.68, 2908 1360.05, 2905.84 1359.35, 2904.52 1357.91, 2904.4 1356))",1.10314,City,Inner City,9704.0,10705,8800.7,9708
A03,A03_029,"POLYGON ((2904.4 1356, 2904.52 1357.91, 2905.84 1359.35, 2908 1360.05, 2908 1356, 2904.4 1356))",0.180458,City,Inner City,14047.6,2535,11948.2,2156
A03,A03_030,"POLYGON ((2888.82 1356, 2898.41 1356, 2897.71 1363.37, 2890.41 1361.81, 2883.43 1360.68, 2888.82 1356))",1.164026,City,Inner City,10734.9,12496,10826.7,12603
A03,A03_031,"POLYGON ((2886.15 1375.39, 2888.39 1368.91, 2890.41 1361.81, 2883.43 1360.68, 2883.82 1361.74, 2881.35 1363.47, 2881.57 1365.43, 2880.41 1367.24, 2883.89 1371.31, 2886.15 1375.39))",1.238605,City,Inner City,11147.5,13807,14133.2,17505
A03,A03_032,"POLYGON ((2874.58 1356, 2884.34 1356, 2886.99 1356, 2888.82 1356, 2883.43 1360.68, 2876.64 1359.78, 2870.98 1359.27, 2874.58 1356))",0.863462,City,Inner City,11901.3,10276,10152.9,8767
A03,A03_033,"POLYGON ((2880.41 1367.24, 2881.57 1365.43, 2881.35 1363.47, 2883.82 1361.74, 2883.43 1360.68, 2876.64 1359.78, 2870.98 1359.27, 2872.43 1360.87, 2875.4 1364.27, 2876.49 1366.08, 2880.41 1367.24))",0.825142,City,Inner City,11615.0,9584,9352.7,7717
