Zone,County,District,Area,Region,Population,Constituency
Oakfield Bush,AK08,Dressingham and Oakfield Bush,430.797334,Lowland,4212,Upper Eastland and Readington
Oakfield Bush,AK09,Dressingham and Oakfield Bush,333.322423,Lowland,6466,Upper Eastland and Readington
Oakfield Bush,AK10,Dressingham and Oakfield Bush,383.945786,Lowland,5695,Upper Eastland and Readington
Oakfield Bush,AK11,Dressingham and Oakfield Bush,563.278424,Lowland,2862,Upper Eastland and Readington
Oakfield Bush,AK12,Dressingham and Oakfield Bush,495.88451399999997,Lowland,7739,Upper Eastland and Readington
Oakfield Bush,AK13,Dressingham and Oakfield Bush,406.732533,Lowland,8193,Upper Eastland and Readington
Oakfield Bush,AK14,Dressingham and Oakfield Bush,30.174517,Lowland,75650,Upper Eastland and Readington
Oakfield Bush,AK15,Dressingham and Oakfield Bush,342.206449,Lowland,4997,Upper Eastland and Readington
Oakfield Bush,AK16,Dressingham and Oakfield Bush,250.685395,Lowland,3980,Upper Eastland and Readington
Oakfield Bush,AK17,Dressingham and Oakfield Bush,620.697287,Lowland,6192,Upper Eastland and Readington
Oakfield Bush,AK18,Dressingham and Oakfield Bush,1821.381201,Lowland,8973,Upper Eastland and Readington
Alma Junction,AN01,Greater Almouth,23.098466000000002,Lowland,117359,Greater Almouth
Alma Junction,AN02,Greater Almouth,22.506202,Lowland,102873,Greater Almouth
Alma Junction,AN03,Greater Almouth,23.690739,Lowland,60962,Greater Almouth
Alma Junction,AN04,Greater Almouth,24.314179,Lowland,153388,Greater Almouth
Alma Junction,AN05,Greater Almouth,71.69569500000001,Lowland,108352,Greater Almouth
Alma Junction,AN06,Greater Almouth,72.31909199999998,Lowland,25372,Greater Almouth
Alma Junction,AN07,Greater Almouth,68.703136,Lowland,34516,Greater Almouth
Alma Junction,AN08,Greater Almouth,68.113606,Lowland,119547,Greater Almouth
Aqua Bay,AQ01,Aqua Corner,13.528657,Lowland,12510,Upper Eastland and Readington
Aqua Bay,AQ02,Aqua Corner,13.045491,Lowland,16583,Upper Eastland and Readington
Aqua Bay,AQ03,Aqua Corner,13.528656999999999,Lowland,26393,Upper Eastland and Readington
Aqua Bay,AQ04,Aqua Corner,13.045491,Lowland,11968,Upper Eastland and Readington
Aqua Bay,AQ05,Aqua Corner,25.716918,Lowland,12886,Upper Eastland and Readington
Aqua Bay,AQ06,Aqua Corner,25.716918,Lowland,9422,Upper Eastland and Readington
Aqua Bay,AQ07,Aqua Corner,77.961226,Lowland,11879,Upper Eastland and Readington
Aqua Bay,AQ08,Aqua Corner,288.263266,Lowland,4383,Upper Eastland and Readington
Aqua Bay,AQ09,Aqua Corner,332.449607,Lowland,4458,Upper Eastland and Readington
Aqua Bay,AQ10,Aqua Corner,97.926905,Lowland,4607,Upper Eastland and Readington
Aqua Bay,AQ11,Aqua Corner,378.30365,Lowland,1871,Upper Eastland and Readington
Aqua Bay,AQ12,Aqua Corner,269.201575,Lowland,5888,Upper Eastland and Readington
Aqua Bay,AQ13,Aqua Corner,238.871199,Lowland,2880,Upper Eastland and Readington
Aqua Bay,AQ14,Aqua Corner,229.800141,Lowland,2091,Upper Eastland and Readington
Aqua Bay,AQ15,Aqua Corner,2363.1665169999997,Lowland,18787,Upper Eastland and Readington
Aqua Bay,AQ16,Aqua Corner,846.195689,Lowland,2040,Upper Eastland and Readington
Aqua Bay,AQ17,Aqua Corner,122.412527,Lowland,3322,Upper Eastland and Readington
Aqua Bay,AQ18,Aqua Corner,182.247222,Lowland,3136,Upper Eastland and Readington
Aqua Bay,AQ19,Aqua Corner,244.341888,Lowland,3987,Upper Eastland and Readington
Aqua Bay,AQ20,Aqua Corner,144.949899,Lowland,2618,Upper Eastland and Readington
Aqua Bay,AQ21,Aqua Corner,87.125799,Lowland,3304,Upper Eastland and Readington
Aqua Bay,AQ22,Aqua Corner,13.965066,Lowland,1035,Upper Eastland and Readington
Aqua Bay,AQ23,Aqua Corner,14.401474,Lowland,37091,Upper Eastland and Readington
Aqua Bay,AQ24,Aqua Corner,14.401474,Lowland,743,Upper Eastland and Readington
Aqua Bay,AQ25,Aqua Corner,14.915813,Lowland,6366,Upper Eastland and Readington
Bayes Valley,B01,Bayes Valley,14.401475,Lowland,36626,Bayes Causeway
Bayes Valley,B02,Bayes Valley,22.630887,Lowland,34822,Bayes Causeway
Bayes Valley,B03,Bayes Valley,286.096811,Lowland,28057,Bayes Causeway
Bayes Valley,B04,Bayes Valley,137.842678,Lowland,7107,Bayes Causeway
Bayes Valley,B05,Bayes Valley,144.529077,Lowland,10672,Bayes Causeway
Bayes Valley,B06,Bayes Valley,37.71814500000001,Lowland,132367,Bayes Causeway
Bayes Valley,B07,Bayes Valley,117.066523,Lowland,26840,Bayes Causeway
Bayes Valley,B08,Bayes Valley,121.726744,Lowland,10387,Bayes Causeway
Bayes Valley,B09,Bayes Valley,266.25581999999997,Lowland,6652,Bayes Causeway
Bayes Valley,B10,Bayes Valley,169.903103,Lowland,7217,Bayes Causeway
Bayes Valley,B11,Bayes Valley,309.055005,Lowland,9205,Bayes Causeway
Bayes Valley,B12,Bayes Valley,248.30073599999997,Lowland,12735,Bayes Causeway
Bayes Valley,B13,Bayes Valley,45.262542,Lowland,50050,Bayes Causeway
Bayes Valley,B14,Bayes Valley,45.261774,Lowland,63086,Bayes Causeway
Central,C01,Central,7.54363,Capital,97799,The Central
Central,C02,Central,7.543628,Capital,106764,The Central
Central,C03,Central,30.174557999999998,Capital,189400,The Central
Central,C04,Central,15.087257000000001,Capital,144739,The Central
Central,C05,Central,22.630893999999998,Capital,97325,The Central
Central,C06,Central,22.630888000000002,Capital,96079,The Central
Central,C07,Central,15.087255,Capital,45764,The Central
Central,C08,Central,15.087254999999999,Capital,48537,The Central
Central,C09,Central,7.543629999999999,Capital,58307,The Central
Central,C10,Central,15.087271000000001,Capital,68496,The Central
Central,C11,Central,7.543625,Capital,36192,The Central
Central,C12,Central,7.543628999999999,Capital,40493,The Central
Central,C13,Central,7.543628,Capital,37622,The Central
Central,C14,Central,7.543629999999999,Capital,86344,Outer Central
Central,C15,Central,7.543764,Capital,83451,Outer Central
Central,C16,Central,7.54363,Capital,73010,Outer Central
Central,C17,Central,7.543631,Capital,75269,Outer Central
Central,C18,Central,7.543640000000001,Capital,48916,Outer Central
Central,C19,Central,22.630931999999998,Capital,73794,Outer Central
Central,C20,Central,22.630885000000003,Capital,81954,Outer Central
Central,C21,Central,15.087257999999999,Capital,100017,Outer Central
Central,C22,Central,7.543634,Capital,34617,Outer Central
Central,C23,Central,15.087257,Capital,54448,Outer Central
Central,C24,Central,30.174522000000003,Capital,53233,Outer Central
Central,C25,Central,30.174536,Capital,64392,Outer Central
Central,C26,Central,30.174571999999998,Capital,98043,Outer Central
Central,C27,Central,30.174516999999998,Capital,151177,Outer Central
Cotham Heights,CH01,Cotham Heights,77.49364700000001,Capital,179188,Cotham Town
Cotham Heights,CH02,Cotham Heights,24.688244,Capital,212613,Cotham Town
Cotham Heights,CH03,Cotham Heights,24.688243,Capital,180564,Cotham Town
Cotham Heights,CH04,Cotham Heights,30.174519999999998,Capital,228959,Cotham Town
Cotham Heights,CH05,Cotham Heights,15.08726,Capital,139433,Cotham Town
Cotham Heights,CH06,Cotham Heights,15.087259,Capital,110894,Cotham Town
Cotham Heights,CH07,Cotham Heights,7.543630000000001,Capital,53814,Upper Weslington and Lower Cotham
Cotham Heights,CH08,Cotham Heights,173.50346900000002,Capital,119014,Upper Weslington and Lower Cotham
Cotham Heights,CH09,Cotham Heights,122.06963699999999,Capital,39140,Upper Weslington and Lower Cotham
Cotham Heights,CH10,Cotham Heights,174.017808,Capital,108268,Upper Weslington and Lower Cotham
Cotham Heights,CH11,Cotham Heights,5.657721999999999,Capital,46522,Upper Weslington and Lower Cotham
Clifton Wick,CW01,West Valley,357.698943,Capital,266055,West Valley
Clifton Wick,CW02,West Valley,842.5485570000001,Capital,263637,West Valley
Denton Town,D01,Denton Town,7.543945000000001,Capital,48808,Gorton and Upper Denton
Denton Town,D02,Denton Town,7.543629999999999,Capital,65767,Gorton and Upper Denton
Denton Town,D03,Denton Town,7.543629999999999,Capital,59114,Gorton and Upper Denton
Denton Town,D04,Denton Town,18.85907,Capital,56167,Gorton and Upper Denton
Denton Town,D05,Denton Town,15.087256,Capital,62285,Gorton and Upper Denton
Denton Town,D06,Denton Town,15.08726,Capital,64110,Gorton and Upper Denton
Denton Town,D07,Denton Town,18.858887999999997,Capital,110579,Gorton and Upper Denton
Denton Town,D08,Denton Town,45.261775,Capital,148103,Gorton and Upper Denton
Denton Town,D09,Denton Town,18.516314,Capital,56224,Gorton and Upper Denton
Denton Town,D10,Denton Town,37.032363,Capital,15539,Gorton and Upper Denton
Denton Town,D11,Denton Town,91.318438,Capital,46260,Gorton and Upper Denton
Durdham Mews,DR01,Durdham Mews,15.087259999999999,Capital,132611,Durdham Mews
Durdham Mews,DR02,Durdham Mews,45.261772000000015,Capital,142045,Durdham Mews
Durdham Mews,DR03,Durdham Mews,120.698066,Capital,90674,Durdham Mews
Durdham Mews,DR04,Durdham Mews,90.523552,Capital,68548,Durdham Mews
Durdham Mews,DR05,Durdham Mews,259.803349,Capital,78045,Durdham Mews
Durdham Mews,DR06,Durdham Mews,141.27159899999998,Capital,53112,Durdham Mews
Durdham Mews,DR07,Durdham Mews,104.036839,Capital,70300,Durdham Mews
Durdham Mews,DR08,Durdham Mews,67.892665,Capital,159556,Durdham Mews
Durdham Mews,DR09,Durdham Mews,22.630887,Capital,148273,Durdham Mews
Durdham Mews,DR10,Durdham Mews,114.18311600000001,Capital,45884,Durdham Mews
Dressingham,DS01,Dressingham and Oakfield Bush,1768.9498630000003,Lowland,51875,Upper Eastland and Readington
Dressingham,DS02,Dressingham and Oakfield Bush,16.458825,Lowland,20669,Upper Eastland and Readington
Dressingham,DS03,Dressingham and Oakfield Bush,41.147068,Lowland,25298,Upper Eastland and Readington
Dressingham,DS04,Dressingham and Oakfield Bush,26.059811,Lowland,38602,Upper Eastland and Readington
Dressingham,DS05,Dressingham and Oakfield Bush,15.087259,Lowland,21622,Upper Eastland and Readington
Dressingham,DS06,Dressingham and Oakfield Bush,41.147069,Lowland,16672,Upper Eastland and Readington
Dressingham,DS07,Dressingham and Oakfield Bush,32.917654999999996,Lowland,21333,Upper Eastland and Readington
Dressingham,DS08,Dressingham and Oakfield Bush,316.83242200000007,Lowland,21140,Upper Eastland and Readington
Dressingham,DS09,Dressingham and Oakfield Bush,113.154437,Lowland,4611,Upper Eastland and Readington
Dressingham,DS10,Dressingham and Oakfield Bush,113.154437,Lowland,8013,Upper Eastland and Readington
Dressingham,DS11,Dressingham and Oakfield Bush,329.51943700000004,Lowland,7772,Upper Eastland and Readington
Dressingham,DS12,Dressingham and Oakfield Bush,13.029904,Lowland,16769,Upper Eastland and Readington
Dressingham,DS13,Dressingham and Oakfield Bush,285.878607,Lowland,4342,Upper Eastland and Readington
Dressingham,DS14,Dressingham and Oakfield Bush,275.685356,Lowland,3000,Upper Eastland and Readington
Dressingham,DS15,Dressingham and Oakfield Bush,275.685356,Lowland,4340,Upper Eastland and Readington
Dressingham,DS16,Dressingham and Oakfield Bush,440.413902,Lowland,7002,Upper Eastland and Readington
Dressingham,DS17,Dressingham and Oakfield Bush,436.15892099999996,Lowland,6619,Upper Eastland and Readington
Dressingham,DS18,Dressingham and Oakfield Bush,78.179429,Lowland,6283,Upper Eastland and Readington
Dressingham,DS19,Dressingham and Oakfield Bush,70.822832,Lowland,4882,Upper Eastland and Readington
Dressingham,DS20,Dressingham and Oakfield Bush,15.087257000000001,Lowland,11085,Upper Eastland and Readington
Dressingham,DS21,Dressingham and Oakfield Bush,15.430152,Lowland,26492,Upper Eastland and Readington
Dressingham,DS22,Dressingham and Oakfield Bush,15.430151,Lowland,25539,Upper Eastland and Readington
Dressingham,DS23,Dressingham and Oakfield Bush,849.188203,Lowland,10392,Upper Eastland and Readington
Eton Gate,E01,East Forest,7.543629,Lowland,15806,East Forest
Eton Gate,E02,East Forest,7.543628,Lowland,11562,East Forest
Eton Gate,E03,East Forest,7.54363,Lowland,60548,East Forest
Eton Gate,E04,East Forest,7.543631,Lowland,59567,East Forest
Eton Gate,E05,East Forest,7.54363,Lowland,44979,East Forest
Eton Gate,E06,East Forest,7.543629,Lowland,42144,East Forest
Eton Gate,E07,East Forest,7.543628999999999,Lowland,5231,East Forest
Eton Gate,E08,East Forest,22.630887,Lowland,4529,East Forest
Eton Gate,E09,East Forest,15.087258,Lowland,6422,East Forest
Eton Gate,E10,East Forest,30.174517,Lowland,2231,East Forest
Eton Gate,E11,East Forest,37.718146,Lowland,1917,East Forest
Eton Gate,E12,East Forest,15.087258,Lowland,5943,East Forest
Eton Gate,E13,East Forest,7.543628,Lowland,39162,East Forest
Eton Gate,E14,East Forest,587.701703,Lowland,23805,East Forest
Eton Gate,E15,East Forest,590.663044,Lowland,11760,East Forest
Eton Gate,E16,East Forest,639.229054,Lowland,1936,East Forest
Eton Gate,E17,East Forest,721.897254,Lowland,2266,East Forest
Eton Gate,E18,East Forest,47.319128,Lowland,4877,East Forest
Eton Gate,E19,East Forest,286.065639,Lowland,4325,East Forest
Eton Gate,E20,East Forest,73.378938,Lowland,18677,East Forest
Eton Gate,E21,East Forest,7.200737,Lowland,28133,East Forest
Eton Gate,E22,East Forest,322.39663,Lowland,3755,East Forest
Eton Gate,E23,East Forest,104.067793,Lowland,2954,East Forest
Eton Gate,E24,East Forest,384.912119,Lowland,49618,East Forest
Eton Gate,E25,East Forest,298.690307,Lowland,23527,East Forest
Eton Gate,E26,East Forest,78.834042,Lowland,15789,East Forest
Eton Gate,E27,East Forest,18.001842,Lowland,5742,East Forest
Eton Gate,E28,East Forest,14.557333,Lowland,52806,East Forest
Eton Gate,E29,East Forest,6.686398000000001,Lowland,36484,East Forest
Eton Gate,E30,East Forest,14.759951,Lowland,60652,East Forest
Eton Gate,E31,East Forest,6.686399,Lowland,1205,East Forest
Eton Gate,E32,East Forest,11.315443,Lowland,11797,East Forest
Eton Gate,E33,East Forest,11.315443,Lowland,9437,East Forest
Grillbys Crest,GC01,East Highland,30.174516999999998,Highland,52513,East Highland
Grillbys Crest,GC02,East Highland,458.104025,Highland,9295,East Highland
Grillbys Crest,GC03,East Highland,699.687189,Highland,6161,East Highland
Grillbys Crest,GC04,East Highland,771.055531,Highland,11645,East Highland
Grillbys Crest,GC05,East Highland,377.18145799999996,Highland,10299,East Highland
Grillbys Crest,GC06,East Highland,698.128588,Highland,13418,East Highland
Grillbys Crest,GC07,East Highland,325.622935,Highland,14964,East Highland
Grillbys Crest,GC08,East Highland,15.087256999999997,Highland,31653,East Highland
Grillbys Crest,GC09,East Highland,327.61794299999997,Highland,9956,East Highland
Grillbys Crest,GC10,East Highland,7.543629000000001,Highland,19114,East Highland
Grillbys Crest,GC11,East Highland,327.992008,Highland,9232,East Highland
Grillbys Crest,GC12,East Highland,312.031932,Highland,7870,East Highland
Goldcrest Villas,GD01,Goldcrest Villas,16.365309,Highland,126449,East Highland
Goldcrest Villas,GD02,Goldcrest Villas,21.960689000000002,Highland,23612,East Highland
Goldcrest Villas,GD03,Goldcrest Villas,23.347842,Highland,22244,East Highland
Goldcrest Villas,GD04,Goldcrest Villas,9.600983,Highland,20775,East Highland
Goldcrest Villas,GD05,Goldcrest Villas,17.144613,Highland,38060,East Highland
Goldcrest Villas,GD06,Goldcrest Villas,11.315444999999999,Highland,37726,East Highland
Goldcrest Villas,GD07,Goldcrest Villas,9.60098,Highland,32004,East Highland
Goldcrest Villas,GD08,Goldcrest Villas,18.001844000000002,Highland,36807,East Highland
Goldcrest Villas,GD09,Goldcrest Villas,20.573536,Highland,30257,East Highland
Goldcrest Villas,GD10,Goldcrest Villas,10.286763,Highland,53578,East Highland
Goldcrest Villas,GD11,Goldcrest Villas,24.002454999999998,Highland,49071,Goldcrest Cradle
Goldcrest Villas,GD12,Goldcrest Villas,14.401470999999999,Highland,47095,Goldcrest Cradle
Goldcrest Villas,GD13,Goldcrest Villas,19.201965000000005,Highland,47356,Goldcrest Cradle
Goldcrest Villas,GD14,Goldcrest Villas,22.630891000000002,Highland,60047,Goldcrest Cradle
Goldcrest Villas,GD15,Goldcrest Villas,7.543628,Highland,29424,Goldcrest Cradle
Goldcrest Villas,GD16,Goldcrest Villas,7.543628,Highland,33418,Goldcrest Cradle
Goldcrest Villas,GD17,Goldcrest Villas,7.543626,Highland,58544,Goldcrest Cradle
Goldcrest Villas,GD18,Goldcrest Villas,7.543623999999999,Highland,67300,Goldcrest Cradle
Goldcrest Villas,GD19,Goldcrest Villas,7.543624999999999,Highland,64692,Goldcrest Cradle
Goldcrest Villas,GD20,Goldcrest Villas,7.5436250000000005,Highland,76174,Goldcrest Cradle
Goldcrest Villas,GD21,Goldcrest Villas,7.543626999999999,Highland,44943,Goldcrest Cradle
Goldcrest Villas,GD22,Goldcrest Villas,7.543627999999999,Highland,27867,Goldcrest Cradle
Goldcrest Villas,GD23,Goldcrest Villas,18.859075,Highland,29195,Goldcrest Cradle
Goldcrest Villas,GD24,Goldcrest Villas,26.402703,Highland,32100,Goldcrest Cradle
Goldcrest Villas,GD25,Goldcrest Villas,15.087259,Highland,23168,Goldcrest Cradle
Goldcrest Villas,GD26,Goldcrest Villas,22.630889,Highland,85163,Goldcrest Cradle
Goldcrest Villas,GD27,Goldcrest Villas,15.087254,Highland,183255,Goldcrest Cradle
Goldcrest Villas,GD28,Goldcrest Villas,22.630891000000002,Highland,53132,Goldcrest Cradle
Goldcrest Villas,GD29,Goldcrest Villas,22.630886999999998,Highland,62352,Goldcrest Cradle
Goldcrest Villas,GD30,Goldcrest Villas,60.34903600000001,Highland,46755,Goldcrest Cradle
Goldcrest Villas,GD31,Goldcrest Villas,60.349033000000006,Highland,31900,Goldcrest Cradle
Goldcrest Villas,GD32,Goldcrest Villas,60.34903200000001,Highland,18207,Goldcrest Cradle
Goldcrest Villas,GD33,Goldcrest Villas,52.805403,Highland,26387,Goldcrest Cradle
Goldcrest Villas,GD34,East Highland,158.416212,Highland,7641,East Highland
Goldcrest Villas,GD35,East Highland,263.730885,Highland,19682,East Highland
Goldcrest Villas,GD36,East Highland,151.729814,Highland,10941,East Highland
Goldcrest Villas,GD37,East Highland,36.003685999999995,Highland,17818,East Highland
Goldcrest Villas,GD38,East Highland,72.007369,Highland,33516,East Highland
Gorton Quarters,GR01,Gorton Quarters,11.315447,Capital,100457,Gorton Central
Gorton Quarters,GR02,Gorton Quarters,11.315447000000002,Capital,114856,Gorton Central
Gorton Quarters,GR03,Gorton Quarters,7.543629999999999,Capital,79216,Gorton Central
Gorton Quarters,GR04,Gorton Quarters,7.543628000000001,Capital,86123,Gorton Central
Gorton Quarters,GR05,Gorton Quarters,7.543628,Capital,85935,Gorton Central
Gorton Quarters,GR06,Gorton Quarters,7.543627999999999,Capital,102414,Gorton Central
Gorton Quarters,GR07,Gorton Quarters,30.174743999999997,Capital,186107,Gorton Central
Gorton Quarters,GR08,Gorton Quarters,45.26179,Capital,137291,Gorton and Upper Denton
Gorton Quarters,GR09,Gorton Quarters,28.117166000000005,Capital,98084,Gorton and Upper Denton
Gorton Quarters,GR10,Gorton Quarters,48.69070099999999,Capital,395021,Gorton Central
Gorton Quarters,GR11,Gorton Quarters,15.087254999999999,Capital,173486,Gorton Central
Hopewell Harbor,H01,Westbury Wharf,808.836021,Highland,8805,Greater Lancer and Westbury Wharf
Hopewell Harbor,H02,Westbury Wharf,186.782751,Highland,15683,Greater Lancer and Westbury Wharf
Hopewell Harbor,H03,Westbury Wharf,385.239425,Highland,25318,Greater Lancer and Westbury Wharf
Leighton,L01,Techno Garden West and Leighton,62.655795999999995,Capital,53288,Techno Garden West and Leighton
Leighton,L02,Techno Garden West and Leighton,189.837608,Capital,6120,Techno Garden West and Leighton
Leighton,L03,Techno Garden West and Leighton,334.787509,Capital,3425,Techno Garden West and Leighton
Leighton,L04,Techno Garden West and Leighton,364.712648,Capital,15845,Techno Garden West and Leighton
Leighton,L05,Techno Garden West and Leighton,271.196586,Capital,30604,Techno Garden West and Leighton
Lancer Gate,LA01,Lancer Gate,5.486280000000001,Highland,88051,Little Lancer
Lancer Gate,LA02,Lancer Gate,5.143388000000002,Highland,48873,Little Lancer
Lancer Gate,LA03,Lancer Gate,7.200739,Highland,76832,Little Lancer
Lancer Gate,LA04,Lancer Gate,4.114707000000001,Highland,36689,Little Lancer
Lancer Gate,LA05,Lancer Gate,4.800490999999999,Highland,37303,Little Lancer
Lancer Gate,LA06,Lancer Gate,4.800489000000001,Highland,32044,Little Lancer
Lancer Gate,LA07,Lancer Gate,4.80049,Highland,20635,Little Lancer
Lancer Gate,LA08,Lancer Gate,4.800492,Highland,40058,Little Lancer
Lancer Gate,LA09,Lancer Gate,4.114707000000001,Highland,34584,Little Lancer
Lancer Gate,LA10,Lancer Gate,31.546084,Highland,25721,Little Lancer
Lancer Gate,LA11,Lancer Gate,20.573534999999996,Highland,19608,Little Lancer
Lancer Gate,LA12,Lancer Gate,6.857850000000001,Highland,75557,Little Lancer
Lancer Gate,LA13,Lancer Gate,154.98728999999997,Highland,45999,Little Lancer
Lancer Gate,LA14,Lancer Gate,149.501014,Highland,22619,Little Lancer
Lancer Gate,LA15,Lancer Gate,137.156892,Highland,14375,Little Lancer
Lancer Gate,LA16,Lancer Gate,167.331412,Highland,83234,Little Lancer
Lancer Gate,LA17,Lancer Gate,27.431382,Highland,80978,Greater Lancer and Westbury Wharf
Lancer Gate,LA18,Lancer Gate,109.554069,Highland,73626,Little Lancer
Lancer Gate,LA19,Lancer Gate,108.276018,Highland,74129,Little Lancer
