Authority,geometry,Area,Population,centroid
Denton Town,"POLYGON ((3040 1461.78, 3040 1475.47, 3040 1488, 3040 1499.07, 3040 1504.54, 3040 1510, 3040 1522.23, 3040 1537, 3053.42 1537, 3084 1537, 3172 1537, 3198.05 1537, 3235 1537, 3235 1491.32, 3235 1491.3153, 3235 1445.83, 3235 1444, 3226 1444, 3209.89 1444, 3200.32 1444, 3194 1444, 3175.56 1444, 3172 1444, 3161.94 1444, 3156.49 1444, 3148.19 1444, 3141.14 1444, 3128 1444, 3122.81 1444, 3117.62 1444, 3112.98 1444, 3104.96 1444, 3094.48 1444, 3084 1444, 3083.62 1444, 3061.39 1444, 3059.37 1444, 3056.8 1444, 3051.63 1444, 3040 1444, 3040 1461.78), (3104.67 1466.43, 3104.6716 1466.4204, 3105.89 1466.7, 3104.67 1466.43))",282.65256899999997,732956,"(3137.5000108558766, 1490.5000080301093)"
Dressingham,"POLYGON ((1822 410, 1822 814, 2100 814, 2103.2 814, 2111.26 814, 2116 814, 2248 814, 2259 814, 2270 814, 2281 814, 2292 814, 2404 814, 2404 674, 2404 608, 2404 542, 2404 410, 2404 349, 2403 349, 2403 198, 2369.5 198, 2336 198, 2270 198, 2138 198, 2079 198, 1822 198, 1822 410))",5585.418353,364352,"(2112.8775941020367, 506.09796685465216)"
Durdham Mews,"POLYGON ((2585 1356, 2585 1398.44, 2585 1444, 2585 1490.5, 2585 1537, 2628.87 1537, 2661.78 1537, 2688 1537, 2716.19 1537, 2774.78 1537, 2798 1537, 2798 1525.07, 2798 1518.13, 2798 1492.22, 2798 1477.63, 2798 1469.19, 2798 1467.31, 2798 1460.56, 2798 1444, 2798 1437.43, 2798 1427.18, 2798 1423.63, 2798 1418.51, 2798 1406.68, 2798 1400, 2798 1392.39, 2798 1385.2, 2798 1381.6, 2798 1378, 2798 1375.22, 2798 1369.97, 2798 1365.61, 2798 1358.4, 2798 1356, 2798 1350.5, 2798 1345, 2798 1340.81, 2798 1338.59, 2798 1334, 2798 1328.5, 2798 1323, 2798 1312, 2792.61 1312, 2787.22 1312, 2782.1 1312, 2774.05 1312, 2773.85 1312, 2769.13 1312, 2754 1312, 2754 1304.49, 2754 1286.25, 2754 1277.12, 2754 1268, 2754 1250.61, 2754 1234.03, 2754 1223, 2712.28 1223, 2668.28 1223, 2585 1223, 2585 1251.8, 2585 1294.12, 2585 1356))",981.389105,989048,"(2686.2447511355326, 1386.9966331035796)"
Eton Gate,"POLYGON ((1282 93, 1456 93, 1522 93, 1555 93, 1561.66 93, 1566.83 93, 1572 93, 1577.12 93, 1580.18 93, 1588 93, 1596.92 93, 1602.56 93, 1605 93, 1609.1 93, 1613.2 93, 1621 93, 1654 93, 1730 93, 1730 111, 1774 111, 1822 111, 1822 36, 1822 -37, 1822 -62.75, 1822 -71.66, 1822 -82.19, 1822 -91.27, 1822 -97.09, 1822 -140, 1822 -184, 1822 -357, 1586 -357, 1386 -357, 1197 -357, 1197 -140, 1197 91, 1282 91, 1282 93))",4406.726297000002,669586,"(1511.223247128063, -130.764133325788)"
Goldcrest Villas,"POLYGON ((2754 -124, 2754 -63, 2754 14, 2754 80, 2831 80, 2908 80, 2952 80, 2974 80, 2996 80, 3040 80, 3084 80, 3084 36, 3084 25, 3084 14, 3084 -30, 3084 -52, 3084 -63, 3084 -74, 3084 -79.5, 3084 -85, 3084 -90.5, 3084 -96, 3084 -106.5, 3084 -110, 3084 -117, 3084 -124, 3084 -130.75, 3084 -137.5, 3084 -140.88, 3084 -151, 3084 -170.25, 3084 -184, 3040 -184, 2996 -184, 2957.5 -184, 2952 -184, 2930 -184, 2919 -184, 2836.5 -184, 2754 -184, 2754 -124))",1357.853225,1708655,"(2919.0, -52.0)"
Gorton Quarters,"POLYGON ((3128 1314.47, 3128 1321.53, 3128 1323.12, 3128 1326.58, 3128 1331.26, 3128 1331.27, 3128 1334, 3128 1336.39, 3128 1342.72, 3128 1353.05, 3128 1356, 3128 1366.27, 3128 1377.91, 3128 1377.94, 3128 1383.78, 3128 1400, 3128 1409.1, 3128 1418.53, 3128 1425.4, 3128 1431.4, 3128 1444, 3141.14 1444, 3148.19 1444, 3156.49 1444, 3161.94 1444, 3172 1444, 3175.56 1444, 3194 1444, 3200.32 1444, 3209.89 1444, 3226 1444, 3235 1444, 3235 1429.25, 3235 1429.2481, 3235 1418.3801, 3235 1407.312, 3235 1407.31, 3235 1400, 3235 1396.21, 3235 1387.6731, 3235 1387.67, 3235 1379.85, 3235 1363.3, 3235 1363.2988, 3235 1361.4741, 3235 1356, 3235 1351.81, 3235 1341.9342, 3235 1341.93, 3235 1337.25, 3235 1337.2456, 3235 1328.86, 3235 1322.51, 3235 1319.6001, 3235 1318.0141, 3235 1318.01, 3235 1312, 3226.68 1312, 3218.36 1312, 3215.85 1312, 3209.3 1312, 3209.29 1312, 3206.13 1312, 3206.11 1312, 3205 1312, 3202.45 1312, 3200.75 1312, 3198.98 1312, 3195.63 1312, 3194.15 1312, 3192.96 1312, 3188.22 1312, 3185.63 1312, 3183.54 1312, 3179.34 1312, 3172 1312, 3167.74 1312, 3162.01 1312, 3156.74 1312, 3152.69 1312, 3150 1312, 3147.63 1312, 3142.67 1312, 3139.57 1312, 3136.4 1312, 3132.57 1312, 3128 1312, 3128 1314.47))",220.137064,1558990,"(3181.5000000000023, 1378.0000000000011)"
Grillbys Crest,"POLYGON ((2411 212, 2411 276, 2411 340, 2494.5 340, 2578 340, 2746 340, 2831 340, 2908 340, 2908 276, 2908 242, 2908 210, 2908 145, 2908 80, 2831 80, 2754 80, 2754 14, 2754 -63, 2754 -124, 2754 -184, 2754 -250, 2754 -357, 2583 -357, 2411 -357, 2411 -96, 2411 80, 2411 212))",4350.227012000001,196120,"(2618.1486845735208, 22.845020439896672)"
Hopewell Harbor,"POLYGON ((3666 220, 3559 220, 3559 340, 3559 410, 3559 451, 3559 476, 3559 520, 3559 555, 3559 563, 3559 1048, 3666 1048, 3666 563, 3666 451, 3666 220))",1380.858197,49806,"(3612.5, 634.0)"
Lancer Gate,"POLYGON ((2908 340, 2952 340, 2996 340, 3084 340, 3095 340, 3106 340, 3111.5 340, 3117 340, 3122.5 340, 3128 340, 3133.5 340, 3139 340, 3144.5 340, 3150 340, 3160.31 340, 3163.41 340, 3166.5 340, 3169.08 340, 3171.66 340, 3177.33 340, 3183 340, 3188.16 340, 3193.31 340, 3199.5 340, 3204.9 340, 3210.3 340, 3216 340, 3221.5 340, 3227 340, 3238 340, 3248.75 340, 3259.5 340, 3264.88 340, 3270.25 340, 3281 340, 3281 331, 3281 322, 3281 300, 3281 256, 3281 218, 3248.5 218, 3216 218, 3183 218, 3150 218, 3117 218, 3084 218, 3084 198, 3084 168, 3084 112.5, 3084 80, 3040 80, 2996 80, 2974 80, 2952 80, 2908 80, 2908 145, 2908 210, 2908 242, 2908 276, 2908 340))",1087.810037,1918241,"(3060.222440324383, 233.76058113877983)"
Leighton,"POLYGON ((2895 1657, 2952 1657, 3040 1657, 3184.55 1657, 3235 1657, 3414 1657, 3549 1657, 3549 1627, 3549 1617.04, 3549 1586.89, 3549 1567, 3549 1537, 3482 1537, 3468.51 1537, 3414 1537, 3383.91 1537, 3322.26 1537, 3322.2567 1537, 3292.0744 1537, 3292.07 1537, 3235 1537, 3198.05 1537, 3172 1537, 3084 1537, 3053.42 1537, 3040 1537, 3010.65 1537, 2981.33 1537, 2952 1537, 2920.11 1537, 2895 1537, 2895 1657))",1223.190147,109282,"(3222.0, 1597.0)"
Meadow Hill,"POLYGON ((3348 340, 3337 340, 3326 340, 3317 340, 3308 340, 3290 340, 3290 388, 3290 410, 3290 498, 3290 555, 3326 555, 3370 555, 3414 555, 3559 555, 3559 520, 3559 476, 3559 451, 3559 410, 3559 340, 3549 340, 3480 340, 3447 340, 3414 340, 3392 340, 3370 340, 3348 340))",901.4169200000002,271308,"(3424.5, 447.5)"
Northfields Market,"POLYGON ((3100.5 349, 3095 349, 3084 349, 3067.5 349, 3051 349, 3018 349, 2996 349, 2908 349, 2908 432, 2908 486.61, 2908 563, 2939.87 563, 2994.53 563, 3084 563, 3107.02 563, 3133.9 563, 3136.27 563, 3155.42 563, 3161 563, 3163.07 563, 3168.95 563, 3181.34 563, 3201.44 563, 3227 563, 3252.42 563, 3281 563, 3281 520, 3281 432, 3281 388, 3281 349, 3259.5 349, 3248.75 349, 3238 349, 3227 349, 3221.5 349, 3216 349, 3210.5 349, 3199.5 349, 3194 349, 3188.5 349, 3183 349, 3177.5 349, 3172 349, 3166.5 349, 3161 349, 3150 349, 3144.5 349, 3139 349, 3128 349, 3122.5 349, 3117 349, 3106 349, 3100.5 349))",1244.106558,957887,"(3094.5, 455.9999999999999)"
Oakfield Bush,"POLYGON ((1795 945, 1795 967, 1795 1125, 1795 1277, 1795 1305, 1822 1305, 1822 1537, 2100 1537, 2312 1537, 2312 1387, 2312 1290, 2312 1214, 2404 1214, 2404 1136, 2404 1014, 2404 944, 2404 814, 2292 814, 2281 814, 2270 814, 2259 814, 2248 814, 2116 814, 2111.26 814, 2103.2 814, 2100 814, 1822 814, 1822 944, 1795 944, 1795 945))",6247.138018,248216,"(2087.4312703802484, 1159.4320762342916)"
Pebble Palace,"POLYGON ((3281 -162, 3281 -156.5, 3281 -153.75, 3281 -149, 3281 -145, 3281 -143, 3281 -141, 3281 -139, 3281 -135, 3281 -130.75, 3281 -128.62, 3281 -122.25, 3281 -118, 3281 -115.25, 3281 -112.5, 3281 -109.75, 3281 -107, 3281 -101.5, 3281 -96, 3281 -87.75, 3281 -83.62, 3281 -79.5, 3281 -77.44, 3281 -75.38, 3281 -71.25, 3281 -63, 3281 -57.5, 3281 -54.75, 3281 -52, 3281 -45.12, 3281 -30, 3281 -27.25, 3281 -19, 3281 -8, 3281 -5.25, 3281 3, 3281 11.25, 3281 14, 3281 16.75, 3281 25, 3281 30.5, 3281 36, 3281 42.88, 3281 47, 3281 52.5, 3281 58, 3281 69, 3281 74.5, 3281 80, 3281 88.25, 3281 93.75, 3281 102, 3281 107.5, 3281 114.38, 3281 118.5, 3281 124, 3281 126.75, 3281 129.5, 3281 135, 3281 146, 3281 168, 3281 193, 3281 218, 3348 218, 3370 218, 3392 218, 3549 218, 3549 14, 3549 -184, 3431.25 -184, 3392 -184, 3370 -184, 3348 -184, 3337 -184, 3315 -184, 3309.5 -184, 3304 -184, 3298.25 -184, 3295.38 -184, 3289.62 -184, 3283.88 -184, 3281 -184, 3281 -178.5, 3281 -175.75, 3281 -173, 3281 -170.25, 3281 -164.75, 3281 -162))",1679.1744160000003,2708585,"(3414.9999999999995, 17.0)"
Permbroke Corner,"POLYGON ((3414 1223, 3414 1242.7026, 3414 1267.225, 3414 1300.8063, 3414 1312, 3414 1394.4862, 3414 1444, 3356.3841 1444, 3326 1444, 3322.0443 1444, 3283.7878 1444, 3235 1444, 3235 1445.8297, 3235 1491.3153, 3235 1491.32, 3235 1537, 3292.07 1537, 3292.0744 1537, 3322.2567 1537, 3322.26 1537, 3383.9098 1537, 3414 1537, 3468.5109 1537, 3482 1537, 3549 1537, 3549 1509.7551, 3549 1468.3166, 3549 1464.4823, 3549 1427.8558, 3549 1387.2867, 3549 1377.7458, 3549 1312, 3549 1232.3737, 3549 1197.049, 3549 1174.6945, 3549 1092, 3455.7513 1092, 3426.3076 1092, 3414 1092, 3414 1132.5017, 3414 1185.28, 3414 1223))",1195.7899049999999,416005,"(3447.434425588489, 1352.688159849848)"
