District,District_ID,District_Ward,geometry,Area,Region,Population,Constituency,centroid,ward_immigrant,ward_localists,Winning_Perspective
Alington City,14,Ward 36,"POLYGON ((2873.67 1314.8, 2869.13 1316.06, 2869.47 1318.22, 2867.45 1320.64, 2864.22 1321.11, 2863.83 1322.69, 2871.12 1324.34, 2873.18 1320.43, 2878.04 1323.18, 2881.81 1319.62, 2880.46 1318.54, 2879.48 1318.86, 2876.55 1317.07, 2873.67 1314.8))",1.280127,Capital,20996,The City of Alington,"(2872.840832519106, 1319.8385784894144)",,,Vote: Left_MR
Alington City,15,Ward 38,"POLYGON ((2867.45 1320.64, 2869.47 1318.22, 2869.13 1316.06, 2867.38 1314.11, 2866.44 1313.1, 2864.7 1312.61, 2860.17 1314.99, 2858.36 1316.33, 2855.49 1320.09, 2856.95 1320.67, 2859.83 1324.15, 2863.83 1322.69, 2864.22 1321.11, 2867.45 1320.64))",1.444627,Capital,21845,The City of Alington,"(2862.856450776122, 1318.25599165942)",,,Vote_L
Alington City,16,Ward 33,"POLYGON ((2848.53 1316.34, 2842 1318.43, 2842 1324.86, 2842 1334, 2848.92 1334, 2848.81 1331.24, 2851.16 1326.82, 2852.36 1324.68, 2849.7 1323.24, 2846.36 1321.26, 2848.82 1318.57, 2848.53 1316.34))",1.919706,Capital,23993,The City of Alington,"(2845.9183055665167, 1325.9536703510475)",,,Vote_L
Alington City,17,Ward 61,"POLYGON ((2860.68 1361.52, 2858.79 1363.47, 2856.62 1365.43, 2857.7 1367.1, 2859.52 1368.33, 2862.2 1368.98, 2864.59 1368.19, 2864.09 1370.94, 2864.86 1372.74, 2870.72 1371.22, 2880.41 1367.24, 2876.49 1366.08, 2868.29 1363.76, 2860.68 1361.52))",1.988513,Capital,23232,Upper Alington,"(2867.0769330013673, 1366.9842533251503)",,,Vote: Left_MR
Alington City,18,Ward 29,"POLYGON ((2894.4 1332.22, 2895.64 1333.09, 2898.11 1329.07, 2895.88 1327.15, 2894.27 1329.13, 2890.72 1326.63, 2888.81 1329.02, 2887.48 1330.84, 2887.36 1333.1, 2886.69 1334.77, 2884.88 1337.45, 2883.3 1338.77, 2887.26 1341.34, 2892.05 1336.05, 2894.4 1332.22))",1.39309,Capital,20010,The City of Alington,"(2890.51042839178, 1333.3967942499955)",,,Vote: Left_MR
Alington City,19,Ward 57,"POLYGON ((2886.99 1356, 2884.34 1356, 2874.58 1356, 2870.98 1359.27, 2876.64 1359.78, 2883.43 1360.68, 2890.41 1361.81, 2897.71 1363.37, 2898.41 1356, 2888.82 1356, 2886.99 1356))",2.027488,Capital,24713,Upper Alington,"(2887.040692176889, 1358.70407834027)",,,Head to Head
Alington City,20,Ward 58,"POLYGON ((2868.29 1363.76, 2876.49 1366.08, 2880.41 1367.24, 2883.89 1371.31, 2886.15 1375.39, 2888.39 1368.91, 2890.41 1361.81, 2883.43 1360.68, 2876.64 1359.78, 2870.98 1359.27, 2868.29 1363.76))",2.420565,Capital,25782,Upper Alington,"(2880.9460221973604, 1364.7234353742263)",,,Vote: Left_MR
Alington City,21,Ward 39,"POLYGON ((2858.59 1307.62, 2855.93 1306.57, 2855.04 1308.38, 2853.86 1310.13, 2852.91 1312, 2850.81 1314.18, 2848.84 1315.34, 2848.53 1316.34, 2848.82 1318.57, 2846.36 1321.26, 2849.7 1323.24, 2852.36 1324.68, 2852.96 1323.89, 2855.49 1320.09, 2858.36 1316.33, 2860.17 1314.99, 2864.7 1312.61, 2866.75 1312, 2858.5 1312, 2860.71 1308.38, 2858.59 1307.62))",2.038606,Capital,25633,The City of Alington,"(2854.6065834550877, 1315.6214360435615)",,,Vote_L
Alington City,22,Ward 23,"POLYGON ((2889.48 1350.13, 2885.28 1354.5, 2886.99 1356, 2888.82 1356, 2898.41 1356, 2898.39 1354.91, 2897.28 1354.36, 2898.82 1351.33, 2898.56 1349.28, 2894.7 1349.19, 2890.88 1348.5, 2889.48 1350.13))",1.171235,Capital,24592,The City of Alington,"(2892.7497242077875, 1352.7277375807664)",,,Vote: Left_MR
Alington City,23,Ward 62,"POLYGON ((2854 1367.11, 2854 1375.34, 2863.81 1375, 2864.86 1372.74, 2864.09 1370.94, 2864.59 1368.19, 2862.2 1368.98, 2859.52 1368.33, 2857.7 1367.1, 2856.62 1365.43, 2855.06 1367.97, 2854 1367.11))",1.185806,Capital,25958,Upper Alington,"(2858.8604311475833, 1371.4252090906082)",,,Vote: Left_MR
Alington City,24,Ward 63,"POLYGON ((2819.49 1360.09, 2825.21 1359.74, 2828.02 1360.43, 2829.05 1359.46, 2830.18 1358.69, 2831.94 1358.61, 2832.88 1359.31, 2833.28 1360.26, 2833.58 1361.85, 2837.37 1363.62, 2841.28 1367.61, 2844.85 1369.98, 2847.98 1364.05, 2853.21 1366.86, 2854 1367.11, 2854 1356, 2842 1356, 2832.37 1356, 2820 1356, 2819.49 1360.09))",3.931538,Capital,29705,Upper Alington,"(2840.71102334846, 1360.50709311356)",,,Vote_L
Alington City,25,Ward 37,"POLYGON ((2885.75 1309.79, 2884.59 1309.8, 2883.3 1309.8, 2878.43 1309.44, 2873.11 1309.39, 2867.78 1309.34, 2866.75 1312, 2864.7 1312.61, 2866.44 1313.1, 2867.38 1314.11, 2869.13 1316.06, 2873.67 1314.8, 2876.55 1317.07, 2879.48 1318.86, 2880.46 1318.54, 2881.81 1319.62, 2884.05 1315.77, 2886.03 1315.6, 2886.03 1312, 2885.75 1309.79))",2.100868,Capital,21612,The City of Alington,"(2876.964716675606, 1313.204777084775)",,,Vote: Left_MR
Alington City,26,Ward 24,"POLYGON ((2896.05 1320.52, 2897.17 1318.81, 2890.13 1315.91, 2886.03 1315.6, 2884.05 1315.77, 2881.81 1319.62, 2886.82 1323.92, 2890.72 1326.63, 2894.58 1321.45, 2896.05 1320.52))",1.493208,Capital,22810,The City of Alington,"(2889.178211314692, 1320.14838451316)",,,Vote: Left_MR
Alington City,27,Ward 72,"POLYGON ((2844.85 1369.98, 2843.71 1375.03, 2848.23 1375.34, 2850.48 1376.37, 2851.96 1378, 2854 1378, 2854 1375.34, 2854 1367.11, 2853.21 1366.86, 2847.98 1364.05, 2844.85 1369.98))",1.499426,Capital,22272,Upper Alington,"(2849.63058960902, 1371.2519071175318)",,,Vote: Left_MR
Alington City,28,Ward 22,"POLYGON ((2908 1342.66, 2908 1340.5, 2905.1 1339.8, 2902.61 1338.61, 2900.09 1336.86, 2893.53 1337.6, 2894.52 1341.74, 2893.78 1343.91, 2893.16 1346.56, 2890.88 1348.5, 2894.7 1349.19, 2898.56 1349.28, 2903.18 1345.39, 2904.48 1344.09, 2908 1342.66))",1.931994,Capital,24204,The City of Alington,"(2899.070082226127, 1342.9623571126908)",,,Vote_L
Alington City,29,Ward 59,"POLYGON ((2883.89 1371.31, 2880.41 1367.24, 2870.72 1371.22, 2869.87 1378, 2871.48 1378, 2879.55 1378, 2886 1378, 2886.15 1375.39, 2883.89 1371.31))",2.003411,Capital,29911,Upper Alington,"(2877.9593043748173, 1373.7503816272174)",,,Head to Head
Alington City,30,Ward 44,"POLYGON ((2860.71 1308.38, 2858.5 1312, 2866.75 1312, 2867.78 1309.34, 2873.11 1309.39, 2878.43 1309.44, 2878.48 1304.9, 2876.04 1304.85, 2875.64 1304.94, 2874.24 1304.98, 2874.16 1304.98, 2874.03 1304.87, 2873.76 1304.79, 2873.63 1304.79, 2873.34 1304.78, 2872.5 1304.75, 2872.32 1304.74, 2872.02 1304.73, 2869.03 1304.69, 2868.95 1304.69, 2867.23 1304.76, 2865.77 1304.82, 2865.6 1304.82, 2864.7 1304.79, 2864.09 1304.57, 2864.07 1304.57, 2863.5 1304.56, 2863.42 1304.56, 2862.79 1304.55, 2862.74 1304.61, 2862.38 1304.57, 2862.25 1304.55, 2860.84 1304.26, 2859.71 1303.73, 2859.64 1303.76, 2859.26 1303.88, 2858.2 1304.47, 2857.81 1304.73, 2857.61 1304.98, 2856.81 1305.96, 2855.93 1306.57, 2858.59 1307.62, 2860.71 1308.38))",1.819498,Capital,27515,The City of Alington,"(2867.1638652640536, 1307.5990904240675)",,,Vote: Left_MR
Alington City,31,Ward 40,"POLYGON ((2845.19 1302.83, 2848.84 1310.6, 2848.76 1310.83, 2849 1311.15, 2849.07 1311.1, 2849.08 1311.09, 2849.08 1311.1, 2849.1 1311.1, 2849.09 1311.13, 2848.98 1311.22, 2845.61 1310.98, 2842 1310.31, 2842 1312, 2842 1318.43, 2848.53 1316.34, 2848.84 1315.34, 2850.81 1314.18, 2852.91 1312, 2853.86 1310.13, 2855.04 1308.38, 2855.93 1306.57, 2856.81 1305.96, 2857.61 1304.98, 2857.81 1304.73, 2857.58 1304.5, 2857.48 1304.43, 2856.72 1303.73, 2855.82 1302.9, 2854.88 1302, 2854.84 1301.94, 2854.71 1301.81, 2854.7 1301.79, 2854.67 1301.79, 2854.59 1301.39, 2854.4 1301.05, 2854.36 1301.06, 2854.13 1301.13, 2853.63 1300.83, 2848.55 1303.18, 2845.19 1302.83))",2.064484,Capital,29466,The City of Alington,"(2849.3476665068665, 1309.287458589862)",,,Vote: Left_MR
Alington City,32,Ward 67,"POLYGON ((2864.86 1372.74, 2863.81 1375, 2860.19 1378, 2859.99 1381.72, 2862.16 1383.36, 2863.48 1383.58, 2865.17 1386.33, 2866.61 1384.13, 2867.08 1382.36, 2869.46 1382.68, 2870.62 1382.41, 2871.21 1380.03, 2871.21 1378.76, 2871.48 1378, 2869.87 1378, 2870.72 1371.22, 2864.86 1372.74))",1.582367,Capital,29694,Upper Alington,"(2865.9783768596008, 1378.5165446522644)",,,Head to Head
Alington City,33,Ward 20,"POLYGON ((2908 1329.8, 2904.51 1330.22, 2900.78 1330.51, 2898.11 1329.07, 2895.64 1333.09, 2894.4 1332.22, 2892.05 1336.05, 2893.53 1337.6, 2900.09 1336.86, 2902.61 1338.61, 2905.1 1339.8, 2908 1340.5, 2908 1334, 2908 1329.8))",1.759112,Capital,24715,The City of Alington,"(2901.533197266345, 1334.4955890080826)",,,Vote_L
Alington City,34,Ward 71,"POLYGON ((2863.81 1375, 2854 1375.34, 2854 1378, 2850.76 1380.27, 2849.12 1382.47, 2850.98 1382.96, 2854.66 1383.51, 2855.31 1384.16, 2858.56 1383.52, 2859.99 1381.72, 2860.19 1378, 2863.81 1375))",1.105268,Capital,20911,Upper Alington,"(2856.2865114860706, 1379.5132130117893)",,,Head to Head
Alington City,35,Ward 19,"POLYGON ((2897.17 1318.81, 2896.05 1320.52, 2894.58 1321.45, 2890.72 1326.63, 2894.27 1329.13, 2895.88 1327.15, 2898.11 1329.07, 2900.78 1330.51, 2904.51 1330.22, 2908 1329.8, 2908 1323, 2903.68 1320.76, 2902.55 1322.65, 2897.17 1318.81))",1.999024,Capital,29022,The City of Alington,"(2900.3274897215288, 1325.3796998734185)",,,Vote_L
Alington City,36,Ward 21,"POLYGON ((2904.48 1344.09, 2903.18 1345.39, 2898.56 1349.28, 2898.82 1351.33, 2897.28 1354.36, 2898.39 1354.91, 2898.41 1356, 2904.4 1356, 2908 1356, 2908 1353.08, 2908 1347.52, 2908 1344.41, 2908 1342.66, 2904.48 1344.09))",1.573599,Capital,28080,The City of Alington,"(2903.6964891993466, 1350.6254801654416)",,,Vote_L
Alington City,37,Ward 18,"POLYGON ((2898.28 1310.81, 2897.97 1308.65, 2895.83 1308.58, 2895.73 1307.48, 2893.73 1307.62, 2889.39 1307.65, 2888.67 1308.01, 2887.01 1309.06, 2885.75 1309.79, 2886.03 1312, 2886.03 1315.6, 2890.13 1315.91, 2897.17 1318.81, 2899.6 1316.56, 2898.59 1312, 2898.28 1310.81))",1.756609,Capital,29079,The City of Alington,"(2892.837311579042, 1312.6510703727101)",,,Vote: Left_MR
Alington City,38,Ward 56,"POLYGON ((2897.71 1363.37, 2890.41 1361.81, 2888.39 1368.91, 2886.15 1375.39, 2890.6 1375.87, 2889.51 1385.74, 2893.01 1385.92, 2893.9 1382.75, 2893.82 1379.29, 2894.5 1375.61, 2897.71 1363.37))",2.223131,Capital,22578,Upper Alington,"(2892.079657885125, 1372.323686555713)",,,Vote: Left_MR
Alington City,39,Ward 87,"POLYGON ((2844.85 1369.98, 2841.28 1367.61, 2840.6 1371.13, 2838.15 1370.54, 2836.42 1370.17, 2830.71 1373.1, 2831.32 1377.04, 2830.47 1376.99, 2829.91 1378, 2831.33 1378, 2840.22 1378, 2851.96 1378, 2850.48 1376.37, 2848.23 1375.34, 2843.71 1375.03, 2844.85 1369.98))",1.83415,Capital,20719,Upper Alington,"(2839.5114590697985, 1374.4999555061559)",,,Head to Head
Alington City,40,Ward 65,"POLYGON ((2886 1378, 2879.55 1378, 2871.48 1378, 2871.21 1378.76, 2871.21 1380.03, 2870.62 1382.41, 2872.32 1383.05, 2874.71 1384.08, 2877.21 1385.91, 2878.67 1387.27, 2880.13 1389.1, 2881.95 1387.51, 2884.48 1387.55, 2886 1388.07, 2886 1385.55, 2886 1378))",1.90173,Capital,27042,Upper Alington,"(2879.467076772843, 1382.3373907270256)",,,Head to Head
Alington City,41,Ward 49,"POLYGON ((2863.38 1293.42, 2863.67 1294.71, 2864.02 1296.27, 2864.35 1297.64, 2864.39 1297.81, 2863.97 1297.67, 2861.9 1297.03, 2860.73 1296.67, 2859.22 1296.58, 2860.03 1298.08, 2860.64 1299.23, 2861.26 1300.39, 2861.91 1301.63, 2861.96 1301.73, 2861.82 1301.86, 2861.83 1301.86, 2862 1302.58, 2860.94 1303.19, 2859.79 1303.66, 2859.79 1303.7, 2859.71 1303.73, 2860.84 1304.26, 2862.25 1304.55, 2862.38 1304.57, 2862.74 1304.61, 2862.79 1304.55, 2863.42 1304.56, 2863.5 1304.56, 2864.07 1304.57, 2864.09 1304.57, 2864.7 1304.79, 2865.6 1304.82, 2865.77 1304.82, 2867.23 1304.76, 2868.95 1304.69, 2869.03 1304.69, 2869.08 1304.54, 2869.12 1304.36, 2869.56 1303.18, 2870.19 1302.06, 2870.44 1300.94, 2870.12 1299.59, 2869.57 1298.31, 2869.4 1297.95, 2868.82 1296.71, 2868.34 1295.55, 2867.61 1293.76, 2867.35 1292.29, 2867.37 1292.24, 2867.26 1292.05, 2865.65 1290.49, 2864.65 1289.65, 2864.63 1289.65, 2864.63 1289.64, 2864.47 1289.5, 2864.33 1289.46, 2864.29 1289.58, 2863.91 1290.79, 2863.51 1292.14, 2863.38 1293.42))",1.472924,Capital,24627,The City of Alington,"(2865.419365529843, 1298.8518817233316)",,,Vote: Left_MR
Alington City,42,Ward 50,"POLYGON ((2868.82 1296.71, 2869.4 1297.95, 2869.57 1298.31, 2870.12 1299.59, 2870.44 1300.94, 2870.19 1302.06, 2869.56 1303.18, 2869.12 1304.36, 2869.08 1304.54, 2869.03 1304.69, 2872.02 1304.73, 2872.32 1304.74, 2872.5 1304.75, 2873.34 1304.78, 2873.63 1304.79, 2873.76 1304.79, 2874.03 1304.87, 2874.16 1304.98, 2874.24 1304.98, 2875.64 1304.94, 2876.04 1304.85, 2878.48 1304.9, 2878.48 1304.76, 2878.68 1304.77, 2878.71 1304.77, 2878.85 1303.52, 2878.92 1302.47, 2878.93 1302.31, 2879.06 1301.21, 2879.15 1300, 2879.1 1298.71, 2878.78 1297.31, 2878.37 1296.08, 2877.21 1296.43, 2877.2 1296.14, 2877.19 1294.9, 2877.17 1293.6, 2877.16 1292.78, 2876.94 1292.83, 2875.37 1294.03, 2874.22 1294.52, 2872.86 1294.87, 2871.3 1294.79, 2869.84 1294.71, 2868.53 1294.28, 2867.53 1292.42, 2867.51 1292.4, 2867.51 1292.39, 2867.5 1292.37, 2867.37 1292.24, 2867.35 1292.29, 2867.61 1293.76, 2868.34 1295.55, 2868.82 1296.71))",1.511572,Capital,21432,The City of Alington,"(2874.0672114602694, 1299.513763187074)",,,Head to Head
Alington City,43,Ward 45,"POLYGON ((2889.58 1302.17, 2889.38 1300.95, 2889.38 1300.87, 2889.46 1300.84, 2889.47 1300.77, 2889.47 1300.62, 2889.4 1300.56, 2889.4 1300.55, 2889.45 1300.49, 2889.6 1300.44, 2889.64 1300.39, 2889.66 1300.37, 2889.78 1300.23, 2889.79 1300.08, 2889.81 1300.06, 2889.96 1300.04, 2890.09 1299.88, 2890.03 1299.79, 2890.08 1299.74, 2890.09 1299.72, 2890.23 1299.67, 2890.24 1299.62, 2890.24 1299.61, 2890.05 1299.54, 2889.05 1298.53, 2888.69 1297.31, 2888.29 1295.95, 2887.89 1294.68, 2886.64 1294.72, 2884.66 1294.95, 2883.19 1295.22, 2881.98 1295.28, 2879.97 1295.62, 2878.37 1296.08, 2878.78 1297.31, 2879.1 1298.71, 2879.15 1300, 2879.06 1301.21, 2878.93 1302.31, 2878.92 1302.47, 2878.85 1303.52, 2878.71 1304.77, 2878.68 1304.77, 2878.48 1304.76, 2878.48 1304.9, 2878.43 1309.44, 2883.3 1309.8, 2884.59 1309.8, 2885.75 1309.79, 2887.01 1309.06, 2888.67 1308.01, 2889.39 1307.65, 2889.45 1306.78, 2889.33 1305.75, 2889.19 1305, 2889.14 1304.57, 2889.18 1304.2, 2889.42 1303.43, 2889.45 1302.83, 2889.48 1302.5, 2889.58 1302.17))",2.316185,Capital,29919,The City of Alington,"(2883.96701677573, 1302.4213025154895)",,,Head to Head
Alington City,44,Ward 81,"POLYGON ((2832.88 1359.31, 2831.94 1358.61, 2830.18 1358.69, 2829.05 1359.46, 2828.02 1360.43, 2828.05 1362.16, 2825.32 1366.01, 2823.86 1368.31, 2822.68 1372.34, 2819.75 1372.59, 2819.96 1377.02, 2820 1378, 2829.91 1378, 2830.47 1376.99, 2831.32 1377.04, 2830.71 1373.1, 2836.42 1370.17, 2838.15 1370.54, 2840.6 1371.13, 2841.28 1367.61, 2837.37 1363.62, 2833.58 1361.85, 2833.28 1360.26, 2832.88 1359.31))",3.369011,Capital,26359,Upper Alington,"(2829.9065848962478, 1369.2242095739496)",,,Vote: Left_MR
Alington City,45,Ward 41,"POLYGON ((2846 1294.48, 2844.34 1293.8, 2843.39 1293.01, 2843.14 1291.64, 2842.63 1291.66, 2842 1291.81, 2842 1295.58, 2842 1297.31, 2842 1301.37, 2842 1304.3, 2842 1310.31, 2845.61 1310.98, 2848.98 1311.22, 2849.09 1311.13, 2849.1 1311.1, 2849.08 1311.1, 2849.08 1311.09, 2849.07 1311.1, 2849 1311.15, 2848.76 1310.83, 2848.84 1310.6, 2845.19 1302.83, 2848.55 1303.18, 2853.63 1300.83, 2854.13 1301.13, 2854.36 1301.06, 2854.4 1301.05, 2854.46 1300.9, 2854.2 1300.69, 2853.71 1300.43, 2853.36 1300.25, 2853.16 1300.17, 2852.98 1300.13, 2852.82 1300.03, 2852.2 1299.56, 2850.64 1298.1, 2850.63 1298.08, 2850.52 1297.97, 2849.47 1297.12, 2849.45 1297.08, 2849.55 1297.02, 2849.51 1296.99, 2849.5 1296.84, 2849.13 1296.67, 2847.78 1295.45, 2847.72 1295.42, 2847.17 1295.12, 2846 1294.48))",1.835298,Capital,26050,The City of Alington,"(2845.7532022864257, 1301.7273785480343)",,,Head to Head
Alington City,46,Ward 52,"POLYGON ((2899.21 1375.04, 2901.45 1375.88, 2903.97 1368.93, 2904.4 1364.68, 2897.71 1363.37, 2894.5 1375.61, 2893.82 1379.29, 2893.9 1382.75, 2898.3 1382.75, 2897.96 1379.41, 2896.99 1375.08, 2899.21 1375.04))",1.728191,Capital,22482,Upper Alington,"(2898.7493064378205, 1372.096276838657)",,,Vote_L
Alington City,47,Ward 79,"POLYGON ((2854 1378, 2851.96 1378, 2840.22 1378, 2840.1 1379.75, 2839.53 1383.16, 2836.68 1383.31, 2833.66 1383, 2834.81 1384.92, 2835.27 1387.1, 2838.78 1386.61, 2844.58 1386.33, 2845.96 1386.29, 2849.06 1385.7, 2848.79 1383.94, 2849.12 1382.47, 2850.76 1380.27, 2854 1378))",1.613404,Capital,21023,Upper Alington,"(2843.6516815435643, 1382.401356193523)",,,Head to Head
Alington City,48,Ward 51,"POLYGON ((2904.4 1356, 2898.41 1356, 2897.71 1363.37, 2904.4 1364.68, 2903.97 1368.93, 2901.45 1375.88, 2903.11 1377.01, 2908 1379.75, 2908 1378, 2908 1364.68, 2908 1360.05, 2908 1356, 2904.4 1356))",2.314491,Capital,26321,Upper Alington,"(2904.2433341380583, 1365.51622086126)",,,Vote_L
Alington City,49,Ward 70,"POLYGON ((2862.16 1383.36, 2859.99 1381.72, 2858.56 1383.52, 2855.31 1384.16, 2854.66 1383.51, 2850.98 1382.96, 2849.12 1382.47, 2848.79 1383.94, 2849.06 1385.7, 2850.93 1389.15, 2852.87 1390.1, 2856.85 1392.06, 2858.81 1392.94, 2860.56 1393.79, 2861.84 1392.09, 2860.35 1389.72, 2865.17 1386.33, 2863.48 1383.58, 2862.16 1383.36))",1.708899,Capital,26582,Upper Alington,"(2856.888228161892, 1387.0926843494774)",,,Head to Head
