County,District,Shape_ID,Area,Region,County_Type,Population,District_Ward,Constituency
A01,Alington City,A01_028,1.10107,Capital,S,12503,Ward 25,The City of Alington
A01,Alington City,A01_029,0.372026,Capital,F2,7877,Ward 26,The City of Alington
A01,Alington City,A01_030,0.527472,Capital,S,9807,Ward 25,The City of Alington
A01,Alington City,A01_031,0.683996,Capital,S,10729,Ward 28,The City of Alington
A01,Alington City,A01_032,0.360368,Capital,B1,6556,Ward 26,The City of Alington
A01,Alington City,A01_033,0.695526,Capital,A2,10957,Ward 30,The City of Alington
A01,Alington City,A01_034,0.810036,Capital,A1,9128,Ward 26,The City of Alington
A01,Alington City,A01_035,0.587756,Capital,S,8804,Ward 27,The City of Alington
A01,Alington City,A01_036,0.322975,Capital,B1,6341,Ward 23,The City of Alington
A01,Alington City,A01_037,0.737308,Capital,A1,9326,Ward 27,The City of Alington
A01,Alington City,A01_038,0.341682,Capital,E1,7007,Ward 23,The City of Alington
A01,Alington City,A01_039,0.16914,Capital,A2,3783,Ward 23,The City of Alington
A01,Alington City,A01_040,0.337438,Capital,E1,7461,Ward 23,The City of Alington
A01,Alington City,A01_041,0.473261,Capital,UNI,7262,Ward 21,The City of Alington
A01,Alington City,A01_042,0.48514,Capital,A2,5967,Ward 22,The City of Alington
A01,Alington City,A01_043,0.202338,Capital,UNI,3008,Ward 21,The City of Alington
A01,Alington City,A01_044,0.62216,Capital,C2,9369,Ward 27,The City of Alington
A01,Alington City,A01_045,0.161922,Capital,UNI,3503,Ward 21,The City of Alington
A01,Alington City,A01_046,0.684258,Capital,C2,12168,Ward 21,The City of Alington
A01,Alington City,A01_047,0.522143,Capital,C2,6016,Ward 29,The City of Alington
A01,Alington City,A01_048,0.675163,Capital,C2,7467,Ward 22,The City of Alington
A01,Alington City,A01_049,0.05182,Capital,UNI,2139,Ward 21,The City of Alington
A01,Alington City,A01_050,0.771691,Capital,B1,10770,Ward 22,The City of Alington
A01,Alington City,A01_051,0.6476,Capital,A2,8244,Ward 30,The City of Alington
A01,Alington City,A01_052,0.566663,Capital,B1,7994,Ward 20,The City of Alington
A01,Alington City,A01_053,0.864801,Capital,B1,12326,Ward 20,The City of Alington
A01,Alington City,A01_054,0.327648,Capital,B1,4395,Ward 20,The City of Alington
A01,Alington City,A01_055,0.870947,Capital,D1,13994,Ward 29,The City of Alington
A01,Alington City,A01_056,0.992346,Capital,B1,15065,Ward 19,The City of Alington
A01,Alington City,A01_057,1.006678,Capital,D1,13957,Ward 19,The City of Alington
A01,Alington City,A01_058,0.294853,Capital,C1,4966,Ward 17,The City of Alington
A01,Alington City,A01_059,0.4842,Capital,D2,5868,Ward 30,The City of Alington
A01,Alington City,A01_060,0.38905,Capital,C1,6070,Ward 17,The City of Alington
A01,Alington City,A01_061,0.018752,Capital,F1,2528,Ward 14,The City of Alington
A01,Alington City,A01_062,0.686119,Capital,D2,9035,Ward 17,The City of Alington
A01,Alington City,A01_063,0.617382,Capital,D1,9731,Ward 24,The City of Alington
A01,Alington City,A01_064,0.344781,Capital,C1,4751,Ward 24,The City of Alington
A01,Alington City,A01_065,0.460072,Capital,C1,7745,Ward 18,The City of Alington
A01,Alington City,A01_066,0.214565,Capital,C2,3923,Ward 18,The City of Alington
A01,Alington City,A01_067,0.174831,Capital,C2,3560,Ward 24,The City of Alington
A01,Alington City,A01_068,0.332869,Capital,C2,5658,Ward 18,The City of Alington
A01,Alington City,A01_069,0.356214,Capital,E2,4768,Ward 24,The City of Alington
A01,Alington City,A01_070,0.569751,Capital,E2,6802,Ward 35,The City of Alington
A01,Alington City,A01_071,0.367717,Capital,A2,4571,Ward 37,The City of Alington
A02,Alington City,A02_001,0.884851,Capital,S,7547,Ward 3,The City of Alington
A02,Alington City,A02_002,0.902748,Capital,A1,7577,Ward 2,The City of Alington
A02,Alington City,A02_003,0.405465,Capital,S,6367,Ward 2,The City of Alington
A02,Alington City,A02_004,0.361386,Capital,S,4577,Ward 1,The City of Alington
A02,Alington City,A02_005,0.316018,Capital,A2,3708,Ward 1,The City of Alington
A02,Alington City,A02_006,0.190922,Capital,A2,3061,Ward 1,The City of Alington
A02,Alington City,A02_007,0.508626,Capital,A1,5077,Ward 1,The City of Alington
A02,Alington City,A02_008,0.944593,Capital,S,6752,Ward 1,The City of Alington
A02,Alington City,A02_009,0.971208,Capital,S,8649,Ward 3,The City of Alington
A02,Alington City,A02_010,0.798273,Capital,S,2952,Ward 3,The City of Alington
A02,Alington City,A02_011,0.592593,Capital,S,2326,Ward 3,The City of Alington
A02,Alington City,A02_012,0.666947,Capital,S,6149,Ward 2,The City of Alington
A03,Alington City,A03_001,0.324895,Capital,A1,6035,Ward 59,Upper Alington
A03,Alington City,A03_002,0.65714,Capital,D1,13098,Ward 67,Upper Alington
A03,Alington City,A03_003,0.348071,Capital,D1,7306,Ward 71,Upper Alington
A03,Alington City,A03_004,0.955968,Capital,D2,14143,Ward 59,Upper Alington
A03,Alington City,A03_005,0.289488,Capital,D1,5059,Ward 59,Upper Alington
A03,Alington City,A03_006,0.070815,Capital,B1,1577,Ward 64,Upper Alington
A03,Alington City,A03_007,0.336606,Capital,B1,4395,Ward 64,Upper Alington
A03,Alington City,A03_008,0.674533,Capital,B1,5752,Ward 64,Upper Alington
A03,Alington City,A03_009,0.633317,Capital,D1,9870,Ward 55,Upper Alington
A03,Alington City,A03_010,0.574246,Capital,B1,6069,Ward 54,Upper Alington
A03,Alington City,A03_011,0.949369,Capital,B1,12195,Ward 55,Upper Alington
A03,Alington City,A03_012,0.495319,Capital,C2,4415,Ward 54,Upper Alington
A03,Alington City,A03_013,0.595138,Capital,B1,7214,Ward 56,Upper Alington
A03,Alington City,A03_014,0.590171,Capital,E1,6216,Ward 55,Upper Alington
A03,Alington City,A03_015,0.235901,Capital,C2,2115,Ward 54,Upper Alington
A03,Alington City,A03_016,0.415431,Capital,E1,7387,Ward 54,Upper Alington
A03,Alington City,A03_017,0.464536,Capital,C2,7802,Ward 53,Upper Alington
A03,Alington City,A03_018,0.306639,Capital,E1,4704,Ward 54,Upper Alington
A03,Alington City,A03_019,0.15137,Capital,B1,3113,Ward 53,Upper Alington
A03,Alington City,A03_020,0.433473,Capital,B1,6655,Ward 52,Upper Alington
A03,Alington City,A03_021,0.266466,Capital,B1,3390,Ward 53,Upper Alington
A03,Alington City,A03_022,0.543746,Capital,C2,7375,Ward 53,Upper Alington
A03,Alington City,A03_023,0.416071,Capital,C2,4100,Ward 53,Upper Alington
A03,Alington City,A03_024,0.066689,Capital,C2,3123,Ward 51,Upper Alington
A03,Alington City,A03_025,0.964204,Capital,UNI,5401,Ward 51,Upper Alington
A03,Alington City,A03_026,1.294718,Capital,UNI,15827,Ward 52,Upper Alington
A03,Alington City,A03_027,1.627993,Capital,B1,15364,Ward 56,Upper Alington
A03,Alington City,A03_028,1.10314,Capital,UNI,14773,Ward 51,Upper Alington
A03,Alington City,A03_029,0.180458,Capital,UNI,3024,Ward 51,Upper Alington
A03,Alington City,A03_030,1.164026,Capital,E1,18620,Ward 57,Upper Alington
A03,Alington City,A03_031,1.238605,Capital,B1,12469,Ward 58,Upper Alington
A03,Alington City,A03_032,0.863462,Capital,A1,6093,Ward 57,Upper Alington
A03,Alington City,A03_033,0.825142,Capital,B1,7302,Ward 58,Upper Alington
A03,Alington City,A03_034,0.269611,Capital,S,5819,Ward 60,Upper Alington
A03,Alington City,A03_035,0.356818,Capital,A1,6011,Ward 58,Upper Alington
A03,Alington City,A03_036,1.251261,Capital,A1,17589,Ward 60,Upper Alington
A03,Alington City,A03_037,0.43306,Capital,A1,4674,Ward 59,Upper Alington
A03,Alington City,A03_038,0.517593,Capital,S,6530,Ward 60,Upper Alington
A03,Alington City,A03_039,0.84142,Capital,B1,8734,Ward 61,Upper Alington
A03,Alington City,A03_040,1.147093,Capital,B1,14498,Ward 61,Upper Alington
A03,Alington City,A03_041,1.185806,Capital,A1,25958,Ward 62,Upper Alington
A04,Alington City,A04_001,0.65035,Capital,E2,9141,Ward 70,Upper Alington
A04,Alington City,A04_002,0.484366,Capital,E1,8917,Ward 70,Upper Alington
A04,Alington City,A04_003,0.517322,Capital,C2,6408,Ward 65,Upper Alington
A04,Alington City,A04_004,0.136412,Capital,E1,3226,Ward 67,Upper Alington
A04,Alington City,A04_005,0.300314,Capital,E2,4863,Ward 67,Upper Alington
A04,Alington City,A04_006,0.488501,Capital,D2,8507,Ward 67,Upper Alington
A04,Alington City,A04_007,0.29249,Capital,D1,6031,Ward 71,Upper Alington
A04,Alington City,A04_008,0.464707,Capital,E1,7574,Ward 71,Upper Alington
A04,Alington City,A04_009,0.416944,Capital,F1,4081,Ward 70,Upper Alington
A04,Alington City,A04_010,0.682127,Capital,E2,6795,Ward 79,Upper Alington
A04,Alington City,A04_011,0.22606,Capital,D1,3135,Ward 79,Upper Alington
A04,Alington City,A04_012,0.634023,Capital,E2,8434,Ward 80,Upper Alington
A04,Alington City,A04_013,0.451234,Capital,F1,7027,Ward 79,Upper Alington
A04,Alington City,A04_014,0.605538,Capital,D1,7341,Ward 80,Upper Alington
A04,Alington City,A04_015,0.63987,Capital,D2,5137,Ward 80,Upper Alington
A04,Alington City,A04_016,0.253983,Capital,F2,4066,Ward 79,Upper Alington
A04,Alington City,A04_017,0.349583,Capital,D1,4543,Ward 76,Upper Alington
A04,Alington City,A04_018,0.275268,Capital,F2,6390,Ward 78,Upper Alington
A04,Alington City,A04_019,0.481895,Capital,D1,4575,Ward 76,Upper Alington
A04,Alington City,A04_020,0.145467,Capital,D1,3580,Ward 76,Upper Alington
A04,Alington City,A04_021,0.460422,Capital,D2,6786,Ward 76,Upper Alington
A04,Alington City,A04_022,0.415468,Capital,E1,5627,Ward 77,Upper Alington
A04,Alington City,A04_023,0.457535,Capital,D1,13086,Ward 75,Upper Alington
A04,Alington City,A04_024,0.155769,Capital,D1,3802,Ward 76,Upper Alington
A04,Alington City,A04_025,0.570881,Capital,B1,7276,Ward 74,Upper Alington
A04,Alington City,A04_026,1.015558,Capital,D1,22973,Ward 78,Upper Alington
A04,Alington City,A04_027,0.513164,Capital,E2,10093,Ward 77,Upper Alington
A04,Alington City,A04_028,0.659973,Capital,D1,9305,Ward 75,Upper Alington
A04,Alington City,A04_029,0.261604,Capital,B1,4449,Ward 75,Upper Alington
A04,Alington City,A04_030,0.560524,Capital,D1,11397,Ward 77,Upper Alington
A04,Alington City,A04_031,0.360583,Capital,F1,6441,Ward 69,Upper Alington
A04,Alington City,A04_032,0.318439,Capital,E2,3550,Ward 69,Upper Alington
A04,Alington City,A04_033,0.118315,Capital,F1,1903,Ward 69,Upper Alington
A04,Alington City,A04_034,0.449173,Capital,B1,6219,Ward 69,Upper Alington
A04,Alington City,A04_035,0.635829,Capital,E2,7738,Ward 69,Upper Alington
A04,Alington City,A04_036,0.333705,Capital,E2,4076,Ward 68,Upper Alington
A04,Alington City,A04_037,0.399566,Capital,D2,3547,Ward 66,Upper Alington
A04,Alington City,A04_038,0.157239,Capital,F2,4443,Ward 70,Upper Alington
A04,Alington City,A04_039,0.564988,Capital,C2,5589,Ward 66,Upper Alington
A04,Alington City,A04_040,0.048949,Capital,B1,639,Ward 64,Upper Alington
A04,Alington City,A04_041,0.009426,Capital,B1,61,Ward 64,Upper Alington
A04,Alington City,A04_042,0.485939,Capital,C1,6013,Ward 68,Upper Alington
A04,Alington City,A04_043,0.62849,Capital,F1,6530,Ward 68,Upper Alington
A04,Alington City,A04_044,0.099292,Capital,B1,2789,Ward 64,Upper Alington
A04,Alington City,A04_045,0.206715,Capital,B1,2971,Ward 64,Upper Alington
A04,Alington City,A04_046,0.535423,Capital,C1,6241,Ward 66,Upper Alington
A04,Alington City,A04_047,0.120457,Capital,B1,2597,Ward 64,Upper Alington
A04,Alington City,A04_048,0.385588,Capital,C1,4470,Ward 64,Upper Alington
A04,Alington City,A04_049,0.278428,Capital,E2,4945,Ward 68,Upper Alington
A04,Alington City,A04_050,1.029935,Capital,E2,13865,Ward 66,Upper Alington
A04,Alington City,A04_051,0.151046,Capital,C2,2639,Ward 65,Upper Alington
A04,Alington City,A04_052,0.563563,Capital,E1,8573,Ward 65,Upper Alington
A04,Alington City,A04_053,0.512644,Capital,F1,6709,Ward 68,Upper Alington
A04,Alington City,A04_054,0.669799,Capital,D1,9422,Ward 65,Upper Alington
A05,Alington City,A05_001,0.412439,Capital,B1,2857,Ward 81,Upper Alington
A05,Alington City,A05_002,0.768546,Capital,A1,2619,Ward 63,Upper Alington
A05,Alington City,A05_003,0.665663,Capital,A2,3079,Ward 81,Upper Alington
A05,Alington City,A05_004,0.591946,Capital,A2,4146,Ward 81,Upper Alington
A05,Alington City,A05_005,1.432208,Capital,S,11505,Ward 63,Upper Alington
A05,Alington City,A05_006,0.193543,Capital,A1,2640,Ward 63,Upper Alington
A05,Alington City,A05_007,0.34353,Capital,A1,2195,Ward 63,Upper Alington
A05,Alington City,A05_008,0.084348,Capital,A1,1716,Ward 63,Upper Alington
A05,Alington City,A05_009,0.286522,Capital,C1,3537,Ward 81,Upper Alington
A05,Alington City,A05_010,0.398751,Capital,S,3405,Ward 63,Upper Alington
A05,Alington City,A05_011,0.318759,Capital,C1,3316,Ward 81,Upper Alington
A05,Alington City,A05_012,0.328001,Capital,A1,4334,Ward 81,Upper Alington
A05,Alington City,A05_013,0.710612,Capital,A1,5625,Ward 63,Upper Alington
A05,Alington City,A05_014,0.400514,Capital,C2,4636,Ward 82,Upper Alington
A05,Alington City,A05_015,0.280794,Capital,C2,3709,Ward 82,Upper Alington
A05,Alington City,A05_016,0.186551,Capital,A1,2898,Ward 82,Upper Alington
A05,Alington City,A05_017,0.247169,Capital,B1,3388,Ward 82,Upper Alington
A05,Alington City,A05_018,0.365799,Capital,A1,3445,Ward 82,Upper Alington
A05,Alington City,A05_019,0.299085,Capital,C1,3622,Ward 84,Upper Alington
A05,Alington City,A05_020,0.380028,Capital,B1,2924,Ward 82,Upper Alington
A05,Alington City,A05_021,0.700087,Capital,A1,6493,Ward 83,Upper Alington
A05,Alington City,A05_022,0.18441,Capital,A1,2610,Ward 84,Upper Alington
A05,Alington City,A05_023,0.5713,Capital,C2,5135,Ward 84,Upper Alington
A05,Alington City,A05_024,0.830165,Capital,E2,5709,Ward 83,Upper Alington
A05,Alington City,A05_025,0.602473,Capital,C1,5231,Ward 83,Upper Alington
A05,Alington City,A05_026,0.407683,Capital,C1,5855,Ward 84,Upper Alington
A05,Alington City,A05_027,0.367438,Capital,C1,3431,Ward 84,Upper Alington
A05,Alington City,A05_028,0.921669,Capital,B1,7106,Ward 83,Upper Alington
A05,Alington City,A05_029,0.284585,Capital,B1,2562,Ward 85,Upper Alington
A05,Alington City,A05_030,0.255972,Capital,A2,3424,Ward 85,Upper Alington
A05,Alington City,A05_031,0.710944,Capital,B1,5472,Ward 85,Upper Alington
A05,Alington City,A05_032,0.475009,Capital,C2,5232,Ward 85,Upper Alington
A05,Alington City,A05_033,0.184316,Capital,B1,2008,Ward 85,Upper Alington
A05,Alington City,A05_034,0.27389,Capital,E1,1846,Ward 85,Upper Alington
A05,Alington City,A05_035,0.619121,Capital,B1,5468,Ward 73,Upper Alington
A05,Alington City,A05_036,0.3896,Capital,C2,2811,Ward 85,Upper Alington
A05,Alington City,A05_037,0.224718,Capital,D2,2214,Ward 73,Upper Alington
A05,Alington City,A05_038,0.404197,Capital,C2,3488,Ward 73,Upper Alington
A05,Alington City,A05_039,0.964155,Capital,C1,7788,Ward 73,Upper Alington
A05,Alington City,A05_040,0.490905,Capital,C2,3130,Ward 86,Upper Alington
A05,Alington City,A05_041,0.82662,Capital,B1,6182,Ward 73,Upper Alington
A05,Alington City,A05_042,0.326754,Capital,F1,3404,Ward 80,Upper Alington
A05,Alington City,A05_043,0.316684,Capital,C1,3643,Ward 86,Upper Alington
A05,Alington City,A05_044,0.425831,Capital,C2,4624,Ward 86,Upper Alington
A05,Alington City,A05_045,0.281511,Capital,B1,3003,Ward 86,Upper Alington
A05,Alington City,A05_046,0.328461,Capital,A1,2061,Ward 86,Upper Alington
A05,Alington City,A05_047,0.449455,Capital,B1,4552,Ward 74,Upper Alington
A05,Alington City,A05_048,0.539732,Capital,C2,5578,Ward 74,Upper Alington
A05,Alington City,A05_049,0.344233,Capital,D2,5255,Ward 86,Upper Alington
A05,Alington City,A05_050,0.249613,Capital,B1,2618,Ward 74,Upper Alington
A05,Alington City,A05_051,0.017532,Capital,A1,468,Ward 87,Upper Alington
A05,Alington City,A05_052,0.765681,Capital,C1,5090,Ward 81,Upper Alington
A05,Alington City,A05_053,0.306168,Capital,F1,3582,Ward 87,Upper Alington
A05,Alington City,A05_054,0.456209,Capital,E2,5249,Ward 87,Upper Alington
A05,Alington City,A05_055,0.263905,Capital,D2,4025,Ward 72,Upper Alington
A05,Alington City,A05_056,0.667402,Capital,A2,8309,Ward 87,Upper Alington
A05,Alington City,A05_057,0.296541,Capital,A2,4442,Ward 72,Upper Alington
A05,Alington City,A05_058,0.342369,Capital,A1,5734,Ward 72,Upper Alington
A05,Alington City,A05_059,0.386839,Capital,B1,3111,Ward 87,Upper Alington
A05,Alington City,A05_060,0.596611,Capital,A1,8071,Ward 72,Upper Alington
A06,Alington Pass,A06_001,0.213157,Capital,B1,2915,Ward 5,Alington Pass
A06,Alington Pass,A06_002,0.336968,Capital,B1,4118,Ward 5,Alington Pass
A06,Alington Pass,A06_003,0.490933,Capital,E2,2848,Ward 5,Alington Pass
A06,Alington Pass,A06_004,0.198644,Capital,B1,1464,Ward 5,Alington Pass
A06,Alington Pass,A06_005,0.044289,Capital,C1,1971,Ward 5,Alington Pass
A06,Alington Pass,A06_006,0.329934,Capital,B1,2339,Ward 5,Alington Pass
A06,Alington Pass,A06_007,0.536799,Capital,E1,3715,Ward 4,Alington Pass
A06,Alington Pass,A06_008,0.43176,Capital,B1,3274,Ward 5,Alington Pass
A06,Alington Pass,A06_009,0.453431,Capital,B1,4451,Ward 4,Alington Pass
A06,Alington Pass,A06_010,1.055485,Capital,C1,7869,Ward 4,Alington Pass
A06,Alington Pass,A06_011,0.217168,Capital,B1,1685,Ward 2,Alington Pass
A06,Alington Pass,A06_012,0.659425,Capital,B1,4455,Ward 4,Alington Pass
A06,Alington Pass,A06_013,0.940223,Capital,C2,8927,Ward 4,Alington Pass
A06,Alington Pass,A06_014,0.159913,Capital,C2,2015,Ward 2,Alington Pass
A06,Alington Pass,A06_015,0.287455,Capital,B1,2301,Ward 2,Alington Pass
A06,Alington Pass,A06_016,0.709445,Capital,A1,2445,Ward 2,Alington Pass
A06,Alington Pass,A06_017,0.559052,Capital,A1,3996,Ward 2,Alington Pass
A06,Alington Pass,A06_018,0.162905,Capital,C1,1230,Ward 2,Alington Pass
A06,Alington Pass,A06_019,0.327169,Capital,C2,2423,Ward 2,Alington Pass
A06,Alington Pass,A06_020,0.141058,Capital,A2,1865,Ward 2,Alington Pass
A06,Alington Pass,A06_021,0.55944,Capital,A2,4496,Ward 2,Alington Pass
A06,Alington Pass,A06_022,0.399432,Capital,C2,2084,Ward 3,Alington Pass
A06,Alington Pass,A06_023,0.094297,Capital,F2,1759,Ward 2,Alington Pass
A06,Alington Pass,A06_024,1.312692,Capital,A1,9736,Ward 1,Alington Pass
A06,Alington Pass,A06_025,0.508634,Capital,S,3759,Ward 1,Alington Pass
A06,Alington Pass,A06_026,0.696409,Capital,A1,3638,Ward 3,Alington Pass
A06,Alington Pass,A06_027,1.639308,Capital,S,11380,Ward 1,Alington Pass
A06,Alington Pass,A06_028,0.353422,Capital,S,2865,Ward 3,Alington Pass
A06,Alington Pass,A06_029,1.04185,Capital,C2,4031,Ward 3,Alington Pass
A06,Alington Pass,A06_030,1.229587,Capital,S,9226,Ward 3,Alington Pass
A06,Alington Pass,A06_031,0.62361,Capital,S,6901,Ward 10,Alington Pass
A06,Alington Pass,A06_032,0.550316,Capital,A2,4495,Ward 9,Alington Pass
A06,Alington Pass,A06_033,0.517622,Capital,A1,5834,Ward 10,Alington Pass
A06,Alington Pass,A06_034,0.382864,Capital,C1,3401,Ward 9,Alington Pass
A06,Alington Pass,A06_035,0.339377,Capital,B1,3561,Ward 10,Alington Pass
A06,Alington Pass,A06_036,0.594323,Capital,A2,7252,Ward 9,Alington Pass
A06,Alington Pass,A06_037,0.339197,Capital,A2,4575,Ward 10,Alington Pass
A06,Alington Pass,A06_038,0.502072,Capital,D2,5542,Ward 10,Alington Pass
A06,Alington Pass,A06_039,0.55698,Capital,E1,5266,Ward 9,Alington Pass
A06,Alington Pass,A06_040,0.455899,Capital,B1,4119,Ward 6,Alington Pass
A06,Alington Pass,A06_041,0.604505,Capital,D2,6474,Ward 9,Alington Pass
A06,Alington Pass,A06_042,0.39774,Capital,D2,3880,Ward 8,Alington Pass
A06,Alington Pass,A06_043,0.280772,Capital,F2,2837,Ward 8,Alington Pass
A06,Alington Pass,A06_044,0.145497,Capital,F2,2012,Ward 8,Alington Pass
A06,Alington Pass,A06_045,0.110775,Capital,F1,1785,Ward 8,Alington Pass
A06,Alington Pass,A06_046,0.2386,Capital,E2,2633,Ward 8,Alington Pass
A06,Alington Pass,A06_047,0.449175,Capital,E1,4308,Ward 6,Alington Pass
A06,Alington Pass,A06_048,0.088152,Capital,F2,1904,Ward 8,Alington Pass
A06,Alington Pass,A06_049,0.301144,Capital,F1,3565,Ward 8,Alington Pass
A06,Alington Pass,A06_050,0.42996,Capital,E2,4456,Ward 8,Alington Pass
A06,Alington Pass,A06_051,0.409999,Capital,D2,3076,Ward 7,Alington Pass
A06,Alington Pass,A06_052,0.11089,Capital,F1,2432,Ward 7,Alington Pass
A06,Alington Pass,A06_053,0.747999,Capital,B1,6848,Ward 6,Alington Pass
A06,Alington Pass,A06_054,0.039592,Capital,D1,1416,Ward 7,Alington Pass
A06,Alington Pass,A06_055,0.365414,Capital,D1,3031,Ward 7,Alington Pass
A06,Alington Pass,A06_056,0.256088,Capital,E1,2828,Ward 7,Alington Pass
A06,Alington Pass,A06_057,0.634482,Capital,D1,7218,Ward 7,Alington Pass
A06,Alington Pass,A06_058,0.55338,Capital,D1,4042,Ward 7,Alington Pass
A06,Alington Pass,A06_059,0.65045,Capital,D1,2928,Ward 7,Alington Pass
A06,Alington Pass,A06_060,0.690809,Capital,D2,3411,Ward 5,Alington Pass
A06,Alington Pass,A06_061,0.591525,Capital,C1,3814,Ward 5,Alington Pass
A06,Alington Pass,A06_062,0.792178,Capital,E1,5390,Ward 6,Alington Pass
A06,Alington Pass,A06_063,0.332849,Capital,B1,2038,Ward 5,Alington Pass
A07,Alington Pass,A07_001,0.102271,Capital,E2,1822,Ward 14,Alington Pass
A07,Alington Pass,A07_002,0.208236,Capital,D1,3667,Ward 17,Alington Pass
A07,Alington Pass,A07_003,0.184185,Capital,E2,1940,Ward 14,Alington Pass
A07,Alington Pass,A07_004,0.184945,Capital,E2,2863,Ward 18,Alington Pass
A07,Alington Pass,A07_005,0.248802,Capital,F2,1878,Ward 18,Alington Pass
A07,Alington Pass,A07_006,0.369364,Capital,E1,4141,Ward 17,Alington Pass
A07,Alington Pass,A07_007,0.229353,Capital,E1,3451,Ward 17,Alington Pass
A07,Alington Pass,A07_008,0.199712,Capital,E2,2686,Ward 18,Alington Pass
A07,Alington Pass,A07_009,0.423133,Capital,D1,3245,Ward 18,Alington Pass
A07,Alington Pass,A07_010,0.321663,Capital,F2,2984,Ward 18,Alington Pass
A07,Alington Pass,A07_011,0.059428,Capital,F2,1506,Ward 18,Alington Pass
A07,Alington Pass,A07_012,0.085822,Capital,F2,1225,Ward 18,Alington Pass
A07,Alington Pass,A07_013,0.060687,Capital,F2,1335,Ward 18,Alington Pass
A07,Alington Pass,A07_014,0.094292,Capital,E1,2215,Ward 17,Alington Pass
A07,Alington Pass,A07_015,0.217482,Capital,E2,1314,Ward 18,Alington Pass
A07,Alington Pass,A07_016,0.177688,Capital,F2,2127,Ward 17,Alington Pass
A07,Alington Pass,A07_017,0.163116,Capital,F2,2118,Ward 17,Alington Pass
A07,Alington Pass,A07_018,0.349859,Capital,B1,2426,Ward 18,Alington Pass
A07,Alington Pass,A07_019,0.072982,Capital,E2,1447,Ward 14,Alington Pass
A07,Alington Pass,A07_020,0.048298,Capital,F1,1497,Ward 18,Alington Pass
A07,Alington Pass,A07_021,0.118571,Capital,D1,1622,Ward 18,Alington Pass
A07,Alington Pass,A07_022,0.067861,Capital,D1,1291,Ward 17,Alington Pass
A07,Alington Pass,A07_023,0.148876,Capital,A1,2214,Ward 19,Alington Pass
A07,Alington Pass,A07_024,0.416526,Capital,B1,3832,Ward 19,Alington Pass
A07,Alington Pass,A07_025,0.527475,Capital,B1,2984,Ward 19,Alington Pass
A07,Alington Pass,A07_026,0.170521,Capital,D1,2695,Ward 18,Alington Pass
A07,Alington Pass,A07_027,0.177485,Capital,B1,1960,Ward 19,Alington Pass
A07,Alington Pass,A07_028,0.281766,Capital,D2,3581,Ward 14,Alington Pass
A07,Alington Pass,A07_029,0.023475,Capital,D2,1518,Ward 19,Alington Pass
A07,Alington Pass,A07_030,0.137597,Capital,A1,1969,Ward 19,Alington Pass
A07,Alington Pass,A07_031,0.083888,Capital,E1,1761,Ward 19,Alington Pass
A07,Alington Pass,A07_032,0.160446,Capital,F1,2371,Ward 18,Alington Pass
A07,Alington Pass,A07_033,0.101354,Capital,D1,1179,Ward 19,Alington Pass
A07,Alington Pass,A07_034,0.100803,Capital,E2,1763,Ward 16,Alington Pass
