Shape_ID,Electorate,Turnout,Left_Left,Left_Right,Left_MR,Right_Left,Right_Right,Right_MR,MR_Left,MR_Right,MR_MR,Spoil,received_at,verified_at,declared_at
A01_036,3768,2348,470,31,177,34,480,147,136,124,703,46,2026-08-02T11:01:55Z,2026-08-02T11:01:55Z,2026-08-02T14:31:38Z
A01_037,6637,4979,1131,161,431,130,728,352,274,228,1420,124,2026-08-02T10:27:22Z,2026-08-02T10:27:22Z,2026-08-02T14:56:17Z
A01_038,3942,2604,322,41,81,78,723,299,263,152,616,29,2026-08-02T12:39:16Z,2026-08-02T12:39:16Z,2026-08-02T18:20:20Z
A01_039,2710,2025,346,65,130,82,377,179,101,171,544,30,2026-08-02T16:52:48Z,2026-08-02T16:52:48Z,2026-08-02T22:35:39Z
A01_040,4204,3006,557,60,140,88,770,223,286,182,638,62,2026-08-02T13:06:13Z,2026-08-02T13:06:13Z,2026-08-02T18:06:26Z
A01_041,5144,3781,901,131,245,72,887,324,192,190,760,79,2026-08-02T13:06:25Z,2026-08-02T13:06:25Z,2026-08-02T17:06:30Z
A01_042,4083,2392,675,73,204,39,564,156,118,124,401,38,2026-08-02T11:19:40Z,2026-08-02T11:19:40Z,2026-08-02T17:43:23Z
A01_043,1666,1315,255,27,72,44,286,94,74,65,386,12,2026-08-02T15:37:40Z,2026-08-02T15:37:40Z,2026-08-02T20:40:37Z
A01_044,6141,4687,864,129,264,138,1073,329,275,438,1146,31,2026-08-02T10:37:20Z,2026-08-02T10:37:20Z,2026-08-02T14:29:50Z
A01_045,2305,1787,302,54,161,60,351,129,110,181,416,23,2026-08-02T16:17:20Z,2026-08-02T16:17:20Z,2026-08-02T18:57:09Z
A01_046,7696,4946,912,70,343,118,1027,497,341,361,1223,54,2026-08-02T16:56:08Z,2026-08-02T16:56:08Z,2026-08-02T21:52:09Z
A01_047,3768,2328,388,45,127,41,438,132,211,134,800,12,2026-08-02T16:31:16Z,2026-08-02T16:31:16Z,2026-08-02T22:30:55Z
A01_048,4729,3513,733,117,262,85,727,297,184,251,809,48,2026-08-02T11:07:04Z,2026-08-02T11:07:04Z,2026-08-02T15:44:30Z
A01_049,1391,803,116,17,73,24,172,77,45,50,212,17,2026-08-02T17:13:57Z,2026-08-02T17:13:57Z,2026-08-03T20:27:01Z
A01_050,6966,5097,760,82,185,99,833,390,482,515,1659,92,2026-08-02T17:45:17Z,2026-08-02T17:45:17Z,2026-08-02T23:32:16Z
A01_051,4656,3409,565,88,326,92,555,312,285,195,949,42,2026-08-02T12:00:06Z,2026-08-02T12:00:06Z,2026-08-02T16:46:27Z
A01_052,4752,2679,462,62,249,49,532,181,294,189,611,50,2026-08-02T13:14:51Z,2026-08-02T13:14:51Z,2026-08-02T19:11:06Z
A01_053,8212,5651,899,188,516,173,1302,414,360,540,1207,52,2026-08-02T14:08:13Z,2026-08-02T14:08:13Z,2026-08-02T15:29:39Z
A01_054,2539,1854,342,35,109,88,358,196,131,160,390,45,2026-08-02T13:17:56Z,2026-08-02T13:17:56Z,2026-08-02T16:21:47Z
A01_055,9893,7938,1390,203,756,198,1916,450,341,596,1910,178,2026-08-02T13:17:31Z,2026-08-02T13:17:31Z,2026-08-02T16:01:55Z
A01_056,8517,4692,1093,170,353,84,1078,429,297,247,904,37,2026-08-02T12:30:41Z,2026-08-02T12:30:41Z,2026-08-02T16:53:15Z
A01_057,8112,4550,445,49,157,139,1174,522,303,510,1206,45,2026-08-02T15:51:51Z,2026-08-02T15:51:51Z,2026-08-02T19:41:53Z
A01_058,2758,2185,441,61,140,61,409,118,240,147,531,37,2026-08-02T16:00:03Z,2026-08-02T16:00:03Z,2026-08-02T21:09:04Z
A01_059,4083,3305,487,38,152,63,724,224,255,343,962,57,2026-08-02T11:35:50Z,2026-08-02T11:35:50Z,2026-08-02T16:08:44Z
A01_060,3924,3146,610,108,247,50,807,231,193,107,753,40,2026-08-02T14:43:07Z,2026-08-02T14:43:07Z,2026-08-02T17:49:12Z
A01_061,1506,1133,161,16,81,29,201,120,46,83,380,16,2026-08-02T11:12:41Z,2026-08-02T11:12:41Z,2026-08-02T15:54:16Z
A01_062,5252,2984,534,48,158,126,600,318,203,116,834,47,2026-08-02T16:27:15Z,2026-08-02T16:27:15Z,2026-08-02T19:53:16Z
A01_063,6172,4287,781,87,402,78,1013,270,211,239,1151,55,2026-08-02T13:07:15Z,2026-08-02T13:07:15Z,2026-08-02T16:44:11Z
A01_064,2673,1922,440,46,103,64,291,164,85,112,583,34,2026-08-02T13:45:22Z,2026-08-02T13:45:22Z,2026-08-02T19:11:50Z
A01_065,5145,4215,687,82,369,182,927,513,221,324,832,78,2026-08-02T15:01:05Z,2026-08-02T15:01:05Z,2026-08-02T17:38:01Z
A01_066,2725,1834,289,61,154,40,346,122,139,172,492,19,2026-08-02T15:11:18Z,2026-08-02T15:11:18Z,2026-08-02T18:05:20Z
A01_067,2159,1555,248,28,125,64,269,132,121,172,361,35,2026-08-02T13:34:10Z,2026-08-02T13:34:10Z,2026-08-02T16:45:57Z
A01_068,3877,2854,479,65,163,91,710,202,210,128,753,53,2026-08-02T15:51:51Z,2026-08-02T15:51:51Z,2026-08-02T19:00:07Z
A01_069,3339,2813,455,83,226,80,500,260,187,234,760,28,2026-08-02T15:26:39Z,2026-08-02T15:26:39Z,2026-08-02T19:41:01Z
A01_070,3798,2663,448,86,166,66,575,299,185,206,578,54,2026-08-02T12:45:27Z,2026-08-02T12:45:27Z,2026-08-02T15:49:51Z
A01_071,3239,2188,537,41,159,33,438,147,139,166,513,15,2026-08-02T12:58:11Z,2026-08-02T12:58:11Z,2026-08-02T17:12:57Z
A02_001,4805,3278,520,78,206,69,681,384,310,228,772,30,2026-08-02T15:01:35Z,2026-08-02T15:01:35Z,2026-08-02T20:38:29Z
A02_002,4491,2528,459,91,275,42,600,161,102,176,562,60,2026-08-02T14:39:57Z,2026-08-02T14:39:57Z,2026-08-02T17:10:49Z
A02_003,4399,3700,690,117,256,85,807,365,183,167,963,67,2026-08-02T10:00:08Z,2026-08-02T10:00:08Z,2026-08-02T11:39:22Z
A02_004,2916,2446,581,77,219,68,377,215,138,215,523,33,2026-08-02T14:53:02Z,2026-08-02T14:53:02Z,2026-08-02T20:12:46Z
A02_005,2614,1548,196,23,106,41,413,203,127,70,355,14,2026-08-02T11:31:36Z,2026-08-02T11:31:36Z,2026-08-02T14:17:18Z
A02_006,1811,1394,248,23,63,36,357,91,91,106,345,34,2026-08-02T17:00:20Z,2026-08-02T17:00:20Z,2026-08-02T21:59:06Z
A02_007,3366,2008,425,43,223,43,297,136,156,121,517,47,2026-08-02T14:41:20Z,2026-08-02T14:41:20Z,2026-08-02T19:13:18Z
A02_008,4415,2555,464,48,221,86,405,168,103,185,820,55,2026-08-02T17:36:40Z,2026-08-02T17:36:40Z,2026-08-02T23:03:00Z
A02_009,5435,4173,594,94,244,103,914,466,235,230,1239,54,2026-08-02T14:42:21Z,2026-08-02T14:42:21Z,2026-08-02T20:25:16Z
A02_010,1952,1481,331,41,82,42,277,89,89,78,423,29,2026-08-02T14:01:00Z,2026-08-02T14:01:00Z,2026-08-02T17:18:37Z
A02_011,1335,843,161,27,72,23,187,44,59,60,197,13,2026-08-02T15:45:02Z,2026-08-02T15:45:02Z,2026-08-02T19:41:26Z
A02_012,3755,2081,321,53,154,76,442,200,104,162,536,33,2026-08-02T11:13:35Z,2026-08-02T11:13:35Z,2026-08-02T15:00:45Z
A03_001,3638,2898,839,171,332,103,452,225,162,126,471,17,2026-08-02T13:03:09Z,2026-08-02T13:03:09Z,2026-08-02T16:23:12Z
A03_002,8256,5311,1238,192,591,143,1453,502,152,137,852,51,2026-08-02T14:50:15Z,2026-08-02T14:50:15Z,2026-08-02T17:13:30Z
A03_003,4690,3833,1155,223,415,160,721,405,123,188,385,58,2026-08-02T15:37:48Z,2026-08-02T15:37:48Z,2026-08-02T20:45:55Z
A03_004,7986,4948,1841,312,645,110,1023,234,74,127,487,95,2026-08-02T17:27:14Z,2026-08-02T17:27:14Z,2026-08-02T21:30:21Z
A03_005,3639,2890,994,95,253,46,543,246,193,109,379,32,2026-08-02T16:53:38Z,2026-08-02T16:53:38Z,2026-08-02T22:24:08Z
A03_006,1011,618,201,22,48,13,121,34,30,28,116,5,2026-08-02T11:21:44Z,2026-08-02T11:21:44Z,2026-08-02T17:39:14Z
A03_007,2901,1638,526,58,155,62,294,134,59,69,248,33,2026-08-02T09:56:10Z,2026-08-02T09:56:10Z,2026-08-02T14:17:25Z
A03_008,3367,2547,643,78,302,95,548,246,107,64,443,21,2026-08-02T14:16:22Z,2026-08-02T14:16:22Z,2026-08-02T18:17:56Z
A03_009,6403,4428,1292,142,423,143,1048,309,254,151,566,100,2026-08-02T12:49:52Z,2026-08-02T12:49:52Z,2026-08-02T16:05:53Z
A03_010,3363,2622,699,91,256,149,540,286,157,95,323,26,2026-08-02T15:25:54Z,2026-08-02T15:25:54Z,2026-08-02T17:26:19Z
A03_011,8125,5731,1699,321,787,120,1054,546,149,170,816,69,2026-08-02T15:32:26Z,2026-08-02T15:32:26Z,2026-08-02T17:20:01Z
A03_012,2881,2210,569,122,250,106,454,215,83,91,306,14,2026-08-02T10:17:39Z,2026-08-02T10:17:39Z,2026-08-02T13:58:27Z
A03_013,4798,3010,965,75,327,62,622,250,103,78,485,43,2026-08-02T16:24:15Z,2026-08-02T16:24:15Z,2026-08-02T18:13:52Z
A03_014,3736,2376,681,70,289,98,388,189,98,71,453,39,2026-08-02T13:06:21Z,2026-08-02T13:06:21Z,2026-08-02T15:44:35Z
A03_015,1228,753,245,19,86,24,151,77,22,17,95,17,2026-08-02T12:12:38Z,2026-08-02T12:12:38Z,2026-08-02T18:31:09Z
A03_016,4262,2487,607,117,366,69,694,210,57,62,275,30,2026-08-02T10:33:17Z,2026-08-02T10:33:17Z,2026-08-02T14:00:44Z
A03_017,4378,2770,848,97,244,124,515,251,101,78,450,62,2026-08-02T15:51:07Z,2026-08-02T15:51:07Z,2026-08-03T18:02:56Z
A03_018,2746,2162,635,82,361,53,452,253,64,63,165,34,2026-08-02T16:01:49Z,2026-08-02T16:01:49Z,2026-08-02T21:56:45Z
A03_019,1868,1428,419,38,108,42,315,103,45,77,266,15,2026-08-02T15:48:08Z,2026-08-02T15:48:08Z,2026-08-02T20:54:54Z
A03_020,4006,3391,979,90,254,123,981,359,114,76,371,44,2026-08-02T10:04:44Z,2026-08-02T10:04:44Z,2026-08-02T15:04:32Z
A03_021,2086,1408,427,77,172,40,299,91,52,39,187,24,2026-08-02T14:50:19Z,2026-08-02T14:50:19Z,2026-08-02T18:24:22Z
A03_022,4076,2456,622,66,321,45,595,166,104,60,464,13,2026-08-02T10:42:52Z,2026-08-02T10:42:52Z,2026-08-02T14:40:40Z
A03_023,2646,2126,600,130,321,44,443,129,81,54,311,13,2026-08-02T12:50:01Z,2026-08-02T12:50:01Z,2026-08-02T17:31:50Z
A03_024,1719,1423,287,48,148,37,297,151,101,63,276,15,2026-08-02T12:33:41Z,2026-08-02T12:33:41Z,2026-08-02T16:31:18Z
A03_025,3565,2033,578,49,260,88,403,242,54,76,243,40,2026-08-02T15:43:14Z,2026-08-02T15:43:14Z,2026-08-02T21:30:54Z
A03_026,10099,6414,2058,209,559,151,1193,460,279,422,929,154,2026-08-02T12:28:02Z,2026-08-02T12:28:02Z,2026-08-02T18:03:31Z
A03_027,10804,8673,2745,162,793,290,2515,564,302,249,981,72,2026-08-02T12:59:54Z,2026-08-02T12:59:54Z,2026-08-02T17:18:11Z
A03_028,9979,7576,2445,251,593,143,1926,685,293,223,883,134,2026-08-02T13:20:56Z,2026-08-02T13:20:56Z,2026-08-02T15:59:44Z
A03_029,1930,1614,476,79,168,52,319,165,53,40,252,10,2026-08-02T12:07:35Z,2026-08-02T12:07:35Z,2026-08-02T16:39:55Z
A03_030,11326,8504,2392,478,1156,342,2322,670,108,199,784,53,2026-08-02T15:28:01Z,2026-08-02T15:28:01Z,2026-08-02T17:50:57Z
A03_031,8433,5094,1222,155,614,75,904,334,407,322,1003,58,2026-08-02T13:31:37Z,2026-08-02T13:31:37Z,2026-08-02T17:08:39Z
A03_032,3952,2211,579,104,243,60,437,225,154,87,299,23,2026-08-02T17:01:08Z,2026-08-02T17:01:08Z,2026-08-02T20:57:13Z
A03_033,4524,2837,744,106,302,47,502,217,102,121,628,68,2026-08-02T11:08:13Z,2026-08-02T11:08:13Z,2026-08-02T17:06:25Z
A03_034,3339,1919,450,75,169,64,451,137,69,109,371,24,2026-08-02T15:37:02Z,2026-08-02T15:37:02Z,2026-08-02T19:41:09Z
A03_035,3422,1890,479,99,209,47,368,191,68,80,321,28,2026-08-02T11:55:52Z,2026-08-02T11:55:52Z,2026-08-02T14:35:01Z
A03_036,11133,7219,2060,177,557,282,2206,532,349,224,761,71,2026-08-02T14:15:37Z,2026-08-02T14:15:37Z,2026-08-02T19:59:01Z
A03_037,3245,2564,673,152,317,69,565,143,94,105,416,30,2026-08-02T15:53:17Z,2026-08-02T15:53:17Z,2026-08-02T19:06:18Z
A03_038,3827,3019,791,191,400,86,570,280,135,87,456,23,2026-08-02T12:09:43Z,2026-08-02T12:09:43Z,2026-08-02T18:05:53Z
A03_039,6112,4646,1581,115,607,88,845,480,165,203,487,75,2026-08-02T15:37:53Z,2026-08-02T15:37:53Z,2026-08-02T20:11:24Z
A03_040,8462,5643,1701,264,633,185,1135,665,121,149,751,39,2026-08-02T12:41:53Z,2026-08-02T12:41:53Z,2026-08-02T17:20:09Z
A03_041,15600,10818,2509,615,1201,365,2392,958,446,552,1663,117,2026-08-02T10:24:05Z,2026-08-02T10:24:05Z,2026-08-02T14:43:19Z
A04_001,6313,4199,1194,127,463,93,918,375,161,109,673,86,2026-08-02T12:27:11Z,2026-08-02T12:27:11Z,2026-08-02T15:32:20Z
A04_002,6268,3782,956,214,529,112,779,298,209,126,518,41,2026-08-02T21:01:04Z,2026-08-02T21:01:04Z,2026-08-03T17:33:46Z
A04_003,4180,2949,846,163,352,118,653,268,75,104,327,43,2026-08-02T09:58:30Z,2026-08-02T09:58:30Z,2026-08-02T12:39:12Z
A04_004,2258,1554,516,93,198,17,203,93,110,59,241,24,2026-08-02T14:17:39Z,2026-08-02T14:17:39Z,2026-08-02T17:17:14Z
A04_005,3197,1877,403,61,245,28,436,146,94,85,354,25,2026-08-02T12:30:22Z,2026-08-02T12:30:22Z,2026-08-02T18:03:18Z
A04_006,5372,3065,742,96,485,87,557,187,149,205,508,49,2026-08-02T11:20:36Z,2026-08-02T11:20:36Z,2026-08-02T13:11:11Z
A04_007,4248,2678,571,133,315,85,709,285,85,55,375,65,2026-08-02T10:15:42Z,2026-08-02T10:15:42Z,2026-08-02T12:52:28Z
A04_008,4739,3594,849,127,366,196,740,385,148,178,519,86,2026-08-02T12:52:15Z,2026-08-02T12:52:15Z,2026-08-02T19:15:01Z
A04_009,2454,1769,525,65,153,89,390,188,59,72,191,37,2026-08-02T11:17:10Z,2026-08-02T11:17:10Z,2026-08-02T14:01:18Z
A04_010,3923,2447,748,127,302,57,658,164,71,62,224,34,2026-08-02T11:46:33Z,2026-08-02T11:46:33Z,2026-08-02T14:13:00Z
A04_011,2054,1400,428,39,150,73,266,144,75,41,157,27,2026-08-02T15:56:26Z,2026-08-02T15:56:26Z,2026-08-02T19:44:09Z
A04_012,5251,3016,775,119,289,87,752,180,180,111,499,24,2026-08-02T16:50:53Z,2026-08-02T16:50:53Z,2026-08-02T20:20:12Z
A04_013,4335,2721,853,129,389,44,621,180,100,76,294,35,2026-08-02T10:33:55Z,2026-08-02T10:33:55Z,2026-08-02T13:16:36Z
A04_014,5149,2897,872,152,289,115,562,335,82,99,366,25,2026-08-02T11:42:41Z,2026-08-02T11:42:41Z,2026-08-02T16:20:31Z
A04_015,3011,2034,634,65,197,31,446,143,107,69,292,50,2026-08-02T10:52:22Z,2026-08-02T10:52:22Z,2026-08-02T14:48:15Z
A04_016,2281,1278,388,57,125,38,314,126,44,42,131,13,2026-08-02T13:44:30Z,2026-08-02T13:44:30Z,2026-08-02T19:36:49Z
A04_017,2586,1971,633,105,239,35,349,181,78,51,281,19,2026-08-02T10:25:07Z,2026-08-02T10:25:07Z,2026-08-02T13:34:36Z
A04_018,3837,3035,1043,111,258,63,730,217,56,99,423,35,2026-08-02T15:01:08Z,2026-08-02T15:01:08Z,2026-08-02T21:39:19Z
A04_019,3151,2244,702,67,265,90,446,239,92,57,259,27,2026-08-02T10:09:19Z,2026-08-02T10:09:19Z,2026-08-02T12:25:14Z
A04_020,2308,1381,431,50,107,23,238,111,67,98,223,33,2026-08-02T09:52:54Z,2026-08-02T09:52:54Z,2026-08-02T16:05:20Z
A04_021,3936,2823,707,90,283,116,674,285,126,102,425,15,2026-08-02T10:34:47Z,2026-08-02T10:34:47Z,2026-08-02T14:54:05Z
A04_022,3752,2398,728,95,181,127,549,240,54,57,310,57,2026-08-02T16:59:51Z,2026-08-02T16:59:51Z,2026-08-02T21:18:22Z
A04_023,8611,7134,1665,231,749,288,2201,563,201,316,820,100,2026-08-02T11:09:01Z,2026-08-02T11:09:01Z,2026-08-02T15:45:16Z
A04_024,2428,1658,503,45,139,72,405,145,83,45,189,32,2026-08-02T13:14:13Z,2026-08-02T13:14:13Z,2026-08-02T16:08:06Z
A04_025,4222,3168,772,76,385,125,816,236,86,155,438,79,2026-08-02T10:30:00Z,2026-08-02T10:30:00Z,2026-08-02T15:40:10Z
A04_026,13435,7839,2338,272,1371,171,1452,646,271,174,1012,132,2026-08-02T14:47:23Z,2026-08-02T14:47:23Z,2026-08-02T18:12:14Z
A04_027,6375,4273,1043,124,546,83,873,425,156,224,700,99,2026-08-02T13:56:12Z,2026-08-02T13:56:12Z,2026-08-02T17:51:56Z
A04_028,5364,4168,1187,237,492,78,819,330,173,197,569,86,2026-08-02T13:38:50Z,2026-08-02T13:38:50Z,2026-08-02T19:18:38Z
A04_029,3150,2469,760,108,267,38,414,175,80,123,464,40,2026-08-02T12:06:02Z,2026-08-02T12:06:02Z,2026-08-02T14:01:42Z
A04_030,7794,6176,2115,204,599,164,1105,547,226,372,765,79,2026-08-02T15:28:13Z,2026-08-02T15:28:13Z,2026-08-02T21:50:17Z
A04_031,4539,3173,915,109,437,89,606,229,122,208,423,35,2026-08-02T11:05:38Z,2026-08-02T11:05:38Z,2026-08-02T13:08:11Z
A04_032,2499,1655,347,27,149,47,579,203,52,71,164,16,2026-08-04T22:29:24Z,2026-08-04T22:29:24Z,2026-08-02T14:37:39Z
A04_033,1086,828,269,19,104,23,137,63,53,32,116,12,2026-08-02T12:16:30Z,2026-08-02T12:16:30Z,2026-08-02T17:23:13Z
A04_034,3868,3144,993,65,357,90,732,237,97,161,396,16,2026-08-02T11:48:33Z,2026-08-02T11:48:33Z,2026-08-02T16:47:59Z
A04_035,4636,3425,831,147,284,109,841,206,196,223,512,76,2026-08-02T13:46:01Z,2026-08-02T13:46:01Z,2026-08-02T18:17:26Z
A04_036,2648,1770,542,72,158,52,497,116,53,55,203,22,2026-08-02T16:52:00Z,2026-08-02T16:52:00Z,2026-08-02T19:32:55Z
A04_037,2200,1354,337,50,208,27,312,150,50,43,158,19,2026-08-02T14:01:25Z,2026-08-02T14:01:25Z,2026-08-02T17:40:04Z
A04_038,3014,2086,494,71,225,88,657,250,33,42,184,42,2026-08-02T13:13:54Z,2026-08-02T13:13:54Z,2026-08-02T16:14:23Z
A04_039,3979,2570,775,58,303,73,472,155,86,145,487,16,2026-08-02T11:57:15Z,2026-08-02T11:57:15Z,2026-08-02T17:30:11Z
A04_040,445,330,79,7,33,13,64,38,13,20,57,6,2026-08-02T09:54:36Z,2026-08-02T09:54:36Z,2026-08-02T15:16:15Z
A04_041,38,31,12,1,4,1,7,3,0,1,2,0,2026-08-02T16:34:36Z,2026-08-02T16:34:36Z,2026-08-02T20:36:11Z
A04_042,3865,3201,956,76,285,136,627,325,120,85,533,58,2026-08-02T13:33:45Z,2026-08-02T13:33:45Z,2026-08-02T15:20:26Z
A04_043,4501,3336,819,135,258,75,853,363,139,84,540,70,2026-08-02T11:50:50Z,2026-08-02T11:50:50Z,2026-08-02T14:08:37Z
A04_044,1994,1332,333,63,189,34,310,94,33,42,205,29,2026-08-02T17:06:58Z,2026-08-02T17:06:58Z,2026-08-02T18:51:09Z
A04_045,1926,1288,278,71,132,33,287,110,56,97,196,28,2026-08-02T17:04:08Z,2026-08-02T17:04:08Z,2026-08-02T22:09:38Z
A04_046,4243,2841,732,86,325,52,453,296,124,206,533,34,2026-08-02T16:48:51Z,2026-08-02T16:48:51Z,2026-08-02T21:13:32Z
A04_047,1834,1065,330,26,121,18,220,83,35,53,160,19,2026-08-02T16:18:41Z,2026-08-02T16:18:41Z,2026-08-02T20:09:56Z
A04_048,2691,1887,538,32,172,71,378,150,132,95,294,25,2026-08-02T10:09:14Z,2026-08-02T10:09:14Z,2026-08-02T13:14:25Z
A04_049,2824,1671,397,39,112,59,482,216,44,78,205,39,2026-08-02T12:24:15Z,2026-08-02T12:24:15Z,2026-08-02T16:34:00Z
A04_050,9531,7366,2375,314,748,104,1590,474,380,266,1005,110,2026-08-02T16:29:23Z,2026-08-02T16:29:23Z,2026-08-02T20:01:24Z
A04_051,1821,1290,373,51,141,38,247,136,35,52,194,23,2026-08-02T11:09:38Z,2026-08-02T11:09:38Z,2026-08-02T15:21:18Z
A04_052,5351,3963,1042,193,414,50,812,262,150,187,830,23,2026-08-02T12:17:49Z,2026-08-02T12:17:49Z,2026-08-02T17:51:12Z
A04_053,4592,2832,633,51,279,94,703,272,186,138,441,35,2026-08-02T15:51:50Z,2026-08-02T15:51:50Z,2026-08-02T17:26:46Z
A04_054,5940,3339,1036,98,261,88,978,247,113,86,408,24,2026-08-02T10:38:02Z,2026-08-02T10:38:02Z,2026-08-02T15:55:16Z
A05_001,1903,1519,425,58,136,29,436,128,35,44,198,30,2026-08-02T16:17:55Z,2026-08-02T16:17:55Z,2026-08-02T20:02:57Z
A05_002,1694,1374,341,80,160,38,265,73,94,60,250,13,2026-08-02T15:07:25Z,2026-08-02T15:07:25Z,2026-08-02T19:07:16Z
